Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax
A.poly,AP2,AP2_07_0.5_01,28B,B,28,0.5,7:04:00,7:30:00,23:15:00,0:26:00,26,15:45:00,15.75,36.26
A.poly,AP2,AP2_07_0.5_04,28B,B,28,0.5,7:07:00,7:30:00,23:30:00,0:23:00,23,16:00:00,16,36.42
A.poly,AP2,AP2_07_0.5_07,28A,A,28,0.5,6:49:00,7:30:00,23:15:00,0:41:00,41,15:45:00,15.75,36.48
A.poly,AP2,AP2_07_0.5_09,28A,A,28,0.5,6:49:00,7:30:00,23:00:00,0:41:00,41,15:30:00,15.5,36.36
A.poly,AP2,AP2_07_0.5_11,28A,A,28,0.5,6:48:00,7:30:00,23:00:00,0:42:00,42,15:30:00,15.5,36.39
A.poly,AP2,AP2_07_0.5_12,28B,B,28,0.5,7:06:00,7:30:00,23:15:00,0:24:00,24,15:45:00,15.75,36.28
A.poly,AP2,AP2_14_0.5_01,28B,B,28,0.5,7:07:00,7:30:00,23:45:00,0:23:00,23,16:15:00,16.25,36.55
A.poly,AP2,AP2_14_0.5_02,28B,B,28,0.5,7:08:00,7:30:00,23:45:00,0:22:00,22,16:15:00,16.25,36.48
A.poly,AP2,AP2_14_0.5_04,28A,A,28,0.5,6:52:00,7:30:00,23:30:00,0:38:00,38,16:00:00,16,36.46
A.poly,AP2,AP2_14_0.5_06,28B,B,28,0.5,7:11:00,7:30:00,0:00:00,0:19:00,19,16:30:00,16.5,36.67
A.poly,AP2,AP2_14_0.5_08,28A,A,28,0.5,6:51:00,7:30:00,23:30:00,0:39:00,39,16:00:00,16,36.55
A.poly,AP2,AP2_14_0.5_12,28A,A,28,0.5,6:52:00,7:30:00,0:00:00,0:38:00,38,16:30:00,16.5,36.65
A.poly,AP2,AP2_21_0.5_05,28A,A,28,0.5,6:39:00,7:15:00,22:30:00,0:36:00,36,15:15:00,15.25,36.11
A.poly,AP2,AP2_21_0.5_06,28B,B,28,0.5,6:51:00,7:15:00,22:30:00,0:24:00,24,15:15:00,15.25,36.19
A.poly,AP2,AP2_21_0.5_08,28A,A,28,0.5,6:35:00,7:15:00,22:30:00,0:40:00,40,15:15:00,15.25,36.22
A.poly,AP2,AP2_21_0.5_09,28B,B,28,0.5,6:52:00,7:15:00,23:15:00,0:23:00,23,16:00:00,16,36.25
A.poly,AP2,AP2_21_0.5_10,28B,B,28,0.5,6:53:00,7:15:00,22:45:00,0:22:00,22,15:30:00,15.5,36.29
A.poly,AP2,AP2_21_0.5_11,28A,A,28,0.5,6:40:00,7:15:00,22:45:00,0:35:00,35,15:30:00,15.5,36.12
A.poly,AP3,AP3_07_0.5_03,28B,B,28,0.5,7:45:00,8:00:00,0:15:00,0:15:00,15,16:15:00,16.25,36.55
A.poly,AP3,AP3_07_0.5_06,28A,A,28,0.5,7:16:00,8:00:00,0:15:00,0:44:00,44,16:15:00,16.25,36.26
A.poly,AP3,AP3_07_0.5_07,28B,B,28,0.5,7:43:00,8:00:00,0:15:00,0:17:00,17,16:15:00,16.25,36.36
A.poly,AP3,AP3_07_0.5_09,28A,A,28,0.5,7:14:00,8:00:00,0:15:00,0:46:00,46,16:15:00,16.25,36.44
A.poly,AP3,AP3_07_0.5_10,28A,A,28,0.5,7:18:00,8:00:00,0:15:00,0:42:00,42,16:15:00,16.25,36.49
A.poly,AP3,AP3_07_0.5_12,28B,B,28,0.5,7:44:00,8:00:00,0:30:00,0:16:00,16,16:30:00,16.5,36.38
A.poly,AP3,AP3_14_0.5_01,28A,A,28,0.5,6:44:00,7:30:00,22:15:00,0:46:00,46,14:45:00,14.75,36
