"","group","t_coma","sCTmax_pred","z_pred"
"1","core_30",1,38.3521460290107,2.347
"2","core_30",10,36.0051460290107,2.347
"3","core_30",60,34.1788250443603,2.347
"4","core_30",240,32.7657902447135,2.347
"5","core_30",1440,30.9394692600631,2.347
"6","core_30",4320,29.8196656752361,2.347
"7","core_30",10080,28.9560241601497,2.347
"8","core_30",20160,28.2495067603263,2.347
"9","core_30",30240,27.8362205753226,2.347
"10","core_30",40320,27.5429893605029,2.347
"11","core_28.5",1,38.4171174030076,2.347
"12","core_28.5",10,36.0701174030076,2.347
"13","core_28.5",60,34.2437964183572,2.347
"14","core_28.5",240,32.8307616187105,2.347
"15","core_28.5",1440,31.0044406340601,2.347
"16","core_28.5",4320,29.884637049233,2.347
"17","core_28.5",10080,29.0209955341466,2.347
"18","core_28.5",20160,28.3144781343232,2.347
"19","core_28.5",30240,27.9011919493195,2.347
"20","core_28.5",40320,27.6079607344999,2.347
"21","core_31.5",1,38.6730717433185,2.347
"22","core_31.5",10,36.3260717433185,2.347
"23","core_31.5",60,34.4997507586681,2.347
"24","core_31.5",240,33.0867159590214,2.347
"25","core_31.5",1440,31.260394974371,2.347
"26","core_31.5",4320,30.1405913895439,2.347
"27","core_31.5",10080,29.2769498744575,2.347
"28","core_31.5",20160,28.5704324746342,2.347
"29","core_31.5",30240,28.1571462896305,2.347
"30","core_31.5",40320,27.8639150748108,2.347
"31","leading_28.5",1,38.2354510635237,2.347
"32","leading_28.5",10,35.8884510635237,2.347
"33","leading_28.5",60,34.0621300788733,2.347
"34","leading_28.5",240,32.6490952792265,2.347
"35","leading_28.5",1440,30.8227742945761,2.347
"36","leading_28.5",4320,29.7029707097491,2.347
"37","leading_28.5",10080,28.8393291946627,2.347
"38","leading_28.5",20160,28.1328117948393,2.347
"39","leading_28.5",30240,27.7195256098356,2.347
"40","leading_28.5",40320,27.4262943950159,2.347
"41","leading_30",1,38.3629967641936,2.347
"42","leading_30",10,36.0159967641936,2.347
"43","leading_30",60,34.1896757795432,2.347
"44","leading_30",240,32.7766409798965,2.347
"45","leading_30",1440,30.9503199952461,2.347
"46","leading_30",4320,29.830516410419,2.347
"47","leading_30",10080,28.9668748953326,2.347
"48","leading_30",20160,28.2603574955093,2.347
"49","leading_30",30240,27.8470713105056,2.347
"50","leading_30",40320,27.5538400956859,2.347
"51","leading_31.5",1,38.6560645491791,2.347
"52","leading_31.5",10,36.3090645491791,2.347
"53","leading_31.5",60,34.4827435645287,2.347
"54","leading_31.5",240,33.069708764882,2.347
"55","leading_31.5",1440,31.2433877802316,2.347
"56","leading_31.5",4320,30.1235841954045,2.347
"57","leading_31.5",10080,29.2599426803181,2.347
"58","leading_31.5",20160,28.5534252804948,2.347
"59","leading_31.5",30240,28.1401390954911,2.347
"60","leading_31.5",40320,27.8469078806714,2.347
