"","group","t_coma","sCTmax_pred","z_pred"
"1","core_30",1,38.043565669528,2.061
"2","core_30",10,35.982565669528,2.061
"3","core_30",60,34.3787959424873,2.061
"4","core_30",240,33.1379503003604,2.061
"5","core_30",1440,31.5341805733197,2.061
"6","core_30",4320,30.5508336673424,2.061
"7","core_30",10080,29.7924335128503,2.061
"8","core_30",20160,29.1720106917868,2.061
"9","core_30",30240,28.8090866068731,2.061
"10","core_30",40320,28.5515878707234,2.061
"11","core_28.5",1,38.1069613153213,2.061
"12","core_28.5",10,36.0459613153213,2.061
"13","core_28.5",60,34.4421915882806,2.061
"14","core_28.5",240,33.2013459461536,2.061
"15","core_28.5",1440,31.597576219113,2.061
"16","core_28.5",4320,30.6142293131357,2.061
"17","core_28.5",10080,29.8558291586436,2.061
"18","core_28.5",20160,29.2354063375801,2.061
"19","core_28.5",30240,28.8724822526663,2.061
"20","core_28.5",40320,28.6149835165166,2.061
"21","core_31.5",1,38.3573441800439,2.061
"22","core_31.5",10,36.2963441800439,2.061
"23","core_31.5",60,34.6925744530032,2.061
"24","core_31.5",240,33.4517288108763,2.061
"25","core_31.5",1440,31.8479590838356,2.061
"26","core_31.5",4320,30.8646121778584,2.061
"27","core_31.5",10080,30.1062120233662,2.061
"28","core_31.5",20160,29.4857892023027,2.061
"29","core_31.5",30240,29.122865117389,2.061
"30","core_31.5",40320,28.8653663812393,2.061
"31","leading_28.5",1,37.9298777350502,2.061
"32","leading_28.5",10,35.8688777350502,2.061
"33","leading_28.5",60,34.2651080080095,2.061
"34","leading_28.5",240,33.0242623658826,2.061
"35","leading_28.5",1440,31.4204926388419,2.061
"36","leading_28.5",4320,30.4371457328647,2.061
"37","leading_28.5",10080,29.6787455783725,2.061
"38","leading_28.5",20160,29.0583227573091,2.061
"39","leading_28.5",30240,28.6953986723953,2.061
"40","leading_28.5",40320,28.4378999362456,2.061
"41","leading_30",1,38.0541484497058,2.061
"42","leading_30",10,35.9931484497058,2.061
"43","leading_30",60,34.3893787226651,2.061
"44","leading_30",240,33.1485330805382,2.061
"45","leading_30",1440,31.5447633534975,2.061
"46","leading_30",4320,30.5614164475203,2.061
"47","leading_30",10080,29.8030162930281,2.061
"48","leading_30",20160,29.1825934719646,2.061
"49","leading_30",30240,28.8196693870509,2.061
"50","leading_30",40320,28.5621706509012,2.061
"51","leading_31.5",1,38.3406773835899,2.061
"52","leading_31.5",10,36.2796773835899,2.061
"53","leading_31.5",60,34.6759076565492,2.061
"54","leading_31.5",240,33.4350620144223,2.061
"55","leading_31.5",1440,31.8312922873816,2.061
"56","leading_31.5",4320,30.8479453814044,2.061
"57","leading_31.5",10080,30.0895452269122,2.061
"58","leading_31.5",20160,29.4691224058487,2.061
"59","leading_31.5",30240,29.106198320935,2.061
"60","leading_31.5",40320,28.8486995847853,2.061
