"group","ramprate","dCTmax"
"core_30",0.1666667,36.59
"core_28.5",0.1666667,36.65
"core_28.5",0.1666667,36.678
"core_28.5",0.1666667,36.68
"core_28.5",0.1666667,36.69
"core_28.5",0.1666667,36.695
"core_30",0.1666667,36.721
"core_30",0.1666667,36.721
"core_28.5",0.1666667,36.722
"core_28.5",0.1666667,36.724
"core_28.5",0.1666667,36.724
"core_28.5",0.1666667,36.737
"core_28.5",0.1666667,36.737
"core_28.5",0.1666667,36.77
"core_30",0.1666667,36.78
"core_28.5",0.1666667,36.786
"core_28.5",0.1666667,36.786
"core_28.5",0.1666667,36.786
"core_28.5",0.1666667,36.788
"core_28.5",0.1666667,36.794
"core_28.5",0.1666667,36.794
"core_28.5",0.1666667,36.798
"core_28.5",0.1666667,36.798
"core_28.5",0.1666667,36.798
"core_28.5",0.1666667,36.799
"core_28.5",0.1666667,36.799
"core_30",0.1666667,36.81
"core_28.5",0.1666667,36.842
"core_30",0.1666667,36.848
"core_30",0.1666667,36.848
"core_30",0.1666667,36.85
"core_28.5",0.1666667,36.88
"core_28.5",0.1666667,36.882
"core_31.5",0.1666667,36.889
"core_30",0.1666667,36.895
"core_28.5",0.1666667,36.9
"core_28.5",0.1666667,36.905
"core_30",0.1666667,36.916
"core_30",0.1666667,36.93
"core_31.5",0.1666667,36.93
"core_31.5",0.1666667,36.95
"core_28.5",0.1666667,36.95
"core_30",0.1666667,36.95
"core_28.5",0.1666667,36.969
"core_28.5",0.1666667,36.969
"core_30",0.1666667,36.969
"core_30",0.1666667,36.969
"core_31.5",0.1666667,36.969
"core_31.5",0.1666667,36.969
"core_30",0.1666667,36.97
"core_28.5",0.1666667,36.989
"core_30",0.1666667,36.989
"core_30",0.1666667,36.989
"core_30",0.1666667,36.993
"core_30",0.1666667,36.997
"core_28.5",0.1666667,37
"core_28.5",0.1666667,37
"core_30",0.1666667,37.003
"core_30",0.1666667,37.003
"core_30",0.1666667,37.019
"core_31.5",0.1666667,37.024
"core_30",0.1666667,37.03
"core_30",0.1666667,37.051
"core_30",0.1666667,37.051
"core_30",0.1666667,37.062
"core_30",0.1666667,37.063
"core_31.5",0.1666667,37.065
"core_31.5",0.1666667,37.065
"core_31.5",0.1666667,37.07
"core_28.5",0.1666667,37.071
"core_30",0.1666667,37.071
"core_31.5",0.1666667,37.071
"core_28.5",0.1666667,37.073
"core_30",0.1666667,37.078
"core_31.5",0.1666667,37.081
"core_31.5",0.1666667,37.092
"core_30",0.1666667,37.093
"core_28.5",0.1666667,37.1
"core_28.5",0.1666667,37.1
"core_28.5",0.1666667,37.1
"core_30",0.1666667,37.1
"core_30",0.1666667,37.1
"core_31.5",0.1666667,37.1
"core_28.5",0.1666667,37.101
"core_30",0.1666667,37.101
"core_30",0.1666667,37.13
"core_31.5",0.1666667,37.13
"core_28.5",0.1666667,37.14
"core_31.5",0.1666667,37.14
"core_30",0.1666667,37.153
"core_31.5",0.1666667,37.153
"core_31.5",0.1666667,37.153
"core_31.5",0.1666667,37.168
"core_30",0.1666667,37.171
"core_30",0.1666667,37.178
"core_30",0.1666667,37.178
"core_30",0.1666667,37.18
"core_30",0.1666667,37.18
"core_31.5",0.1666667,37.19
"core_28.5",0.1666667,37.21
"core_30",0.1666667,37.21
"core_31.5",0.1666667,37.211
"core_31.5",0.1666667,37.23
"core_28.5",0.1666667,37.238
"core_31.5",0.1666667,37.238
"core_31.5",0.1666667,37.245
"core_30",0.1666667,37.25
"core_30",0.1666667,37.25
"core_30",0.1666667,37.25
"core_31.5",0.1666667,37.25
"core_31.5",0.1666667,37.259
"core_31.5",0.1666667,37.292
"core_31.5",0.1666667,37.292
"core_31.5",0.1666667,37.292
"core_31.5",0.1666667,37.294
"core_30",0.1666667,37.3
"core_30",0.1666667,37.3
"core_30",0.1666667,37.3
"core_30",0.1666667,37.3
"core_31.5",0.1666667,37.307
"core_31.5",0.1666667,37.32
"core_31.5",0.1666667,37.5
"core_31.5",0.1666667,37.5
"core_31.5",0.1666667,37.5
"core_31.5",0.1666667,37.5
"core_31.5",0.1666667,37.55
"core_31.5",0.1666667,37.6
"leading_28.5",0.1666667,36.483
"leading_28.5",0.1666667,36.5
"leading_30",0.1666667,36.6
"leading_30",0.1666667,36.6
"leading_28.5",0.1666667,36.63
"leading_30",0.1666667,36.666
"leading_28.5",0.1666667,36.669
"leading_28.5",0.1666667,36.68
"leading_28.5",0.1666667,36.685
"leading_28.5",0.1666667,36.685
"leading_28.5",0.1666667,36.685
"leading_28.5",0.1666667,36.693
"leading_28.5",0.1666667,36.693
"leading_30",0.1666667,36.693
"leading_30",0.1666667,36.7
"leading_28.5",0.1666667,36.71
"leading_28.5",0.1666667,36.71
"leading_28.5",0.1666667,36.71
"leading_30",0.1666667,36.71
"leading_30",0.1666667,36.71
"leading_28.5",0.1666667,36.73
"leading_30",0.1666667,36.74
"leading_28.5",0.1666667,36.746
"leading_30",0.1666667,36.746
"leading_30",0.1666667,36.746
"leading_28.5",0.1666667,36.77
"leading_28.5",0.1666667,36.8
"leading_28.5",0.1666667,36.8
"leading_30",0.1666667,36.8
"leading_28.5",0.1666667,36.811
"leading_28.5",0.1666667,36.811
"leading_30",0.1666667,36.811
"leading_30",0.1666667,36.811
"leading_30",0.1666667,36.852
"leading_30",0.1666667,36.852
"leading_30",0.1666667,36.86
"leading_30",0.1666667,36.873
"leading_30",0.1666667,36.873
"leading_30",0.1666667,36.873
"leading_30",0.1666667,36.873
"leading_30",0.1666667,36.873
"leading_31.5",0.1666667,36.873
"leading_31.5",0.1666667,36.873
"leading_28.5",0.1666667,36.9
"leading_28.5",0.1666667,36.9
"leading_28.5",0.1666667,36.9
"leading_28.5",0.1666667,36.9
"leading_30",0.1666667,36.9
"leading_30",0.1666667,36.9
"leading_31.5",0.1666667,36.9
"leading_28.5",0.1666667,36.902
"leading_30",0.1666667,36.902
"leading_31.5",0.1666667,36.907
"leading_31.5",0.1666667,36.907
"leading_31.5",0.1666667,36.907
"leading_28.5",0.1666667,36.929
"leading_31.5",0.1666667,36.93
"leading_30",0.1666667,36.94
"leading_30",0.1666667,36.94
"leading_31.5",0.1666667,36.94
"leading_31.5",0.1666667,36.99
"leading_28.5",0.1666667,37
"leading_28.5",0.1666667,37
"leading_28.5",0.1666667,37
"leading_28.5",0.1666667,37
"leading_28.5",0.1666667,37
"leading_30",0.1666667,37
"leading_30",0.1666667,37
"leading_30",0.1666667,37
"leading_31.5",0.1666667,37.019
"leading_31.5",0.1666667,37.019
"leading_31.5",0.1666667,37.019
"leading_31.5",0.1666667,37.019
"leading_31.5",0.1666667,37.043
"leading_31.5",0.1666667,37.043
"leading_31.5",0.1666667,37.07
"leading_31.5",0.1666667,37.07
"leading_31.5",0.1666667,37.07
"leading_31.5",0.1666667,37.07
"leading_31.5",0.1666667,37.073
"leading_31.5",0.1666667,37.097
"leading_31.5",0.1666667,37.097
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_30",0.1666667,37.14
"leading_31.5",0.1666667,37.15
"leading_30",0.1666667,37.2
"leading_31.5",0.1666667,37.2
"leading_31.5",0.1666667,37.2
"leading_30",0.1666667,37.2
"leading_30",0.1666667,37.2
"leading_30",0.1666667,37.2
"leading_31.5",0.1666667,37.25
"leading_31.5",0.1666667,37.25
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_31.5",0.1666667,37.3
"leading_28.5",0.1666667,36.633
"leading_28.5",0.1666667,36.633
"leading_28.5",0.1666667,36.633
"leading_28.5",0.1666667,36.696
"leading_30",0.1666667,36.724
"leading_28.5",0.1666667,36.733
"leading_28.5",0.1666667,36.733
"leading_28.5",0.1666667,36.799
"leading_28.5",0.1666667,36.799
"leading_28.5",0.1666667,36.799
"leading_28.5",0.1666667,36.8
"leading_28.5",0.1666667,36.8
"leading_31.5",0.1666667,36.8
"leading_28.5",0.1666667,36.8
"leading_30",0.1666667,36.801
"leading_28.5",0.1666667,36.814
"leading_30",0.1666667,36.814
"leading_31.5",0.1666667,36.867
"leading_28.5",0.1666667,36.9
"leading_30",0.1666667,36.902
"leading_28.5",0.1666667,36.92
"leading_28.5",0.1666667,36.92
"leading_28.5",0.1666667,36.926
"leading_28.5",0.1666667,36.926
"leading_31.5",0.1666667,36.929
"leading_28.5",0.1666667,36.94
"leading_30",0.1666667,36.943
"leading_31.5",0.1666667,36.943
"leading_31.5",0.1666667,36.965
"leading_31.5",0.1666667,36.97
"leading_28.5",0.1666667,37
"leading_28.5",0.1666667,37
"leading_28.5",0.1666667,37
"leading_28.5",0.1666667,37
"leading_30",0.1666667,37
"leading_31.5",0.1666667,37
"leading_30",0.1666667,37.019
"leading_30",0.1666667,37.019
"leading_31.5",0.1666667,37.019
"leading_31.5",0.1666667,37.019
"leading_30",0.1666667,37.02
"leading_30",0.1666667,37.058
"leading_30",0.1666667,37.062
"leading_31.5",0.1666667,37.062
"leading_31.5",0.1666667,37.072
"leading_30",0.1666667,37.083
"leading_31.5",0.1666667,37.083
"leading_31.5",0.1666667,37.097
"leading_30",0.1666667,37.1
"leading_31.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_28.5",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_30",0.1666667,37.1
"leading_31.5",0.1666667,37.13
"leading_30",0.1666667,37.13
"leading_30",0.1666667,37.13
"leading_30",0.1666667,37.14
"leading_31.5",0.1666667,37.149
