"group","extra_ramprate","dCTmax_extra","z_pred"
"core_30",0.01,35.9790758065285,0.5
"core_30",0.05,36.3285606174062,0.5
"core_30",0.08,36.4306205908007,0.5
"core_28.5",0.01,36.0390757522649,0.5
"core_28.5",0.05,36.3885606093244,0.5
"core_28.5",0.08,36.4906205870484,0.5
"core_31.5",0.01,36.2780756384817,0.5
"core_31.5",0.05,36.627560592378,0.5
"core_31.5",0.08,36.7296205791804,0.5
"leading_28.5",0.01,35.8720759496631,0.5
"leading_28.5",0.05,36.2215606387242,0.5
"leading_28.5",0.08,36.3236206006983,0.5
"leading_30",0.01,35.9890757964123,0.5
"leading_30",0.05,36.3385606158995,0.5
"leading_30",0.08,36.4406205901012,0.5
"leading_31.5",0.01,36.2620756428187,0.5
"leading_31.5",0.05,36.6115605930239,0.5
"leading_31.5",0.08,36.7136205794803,0.5
