group,extra_sCTmax,extra_t_coma_pred,extra_t_coma_pred_hr,extra_t_coma_pred_day,,,
core_28.5,33,29269.45713,487.8242855,20.3260119,,,36.95823626
core_28.5,34,2202.009366,36.7001561,1.529173171,,,17.63134728
core_28.5,35,165.6622884,2.76103814,0.115043256,,,
core_28.5,36,12.46315943,0.207719324,0.008654972,,,2.780454111
core_28.5,37,0.937632484,0.015627208,0.000651134,,,1.260913273
core_30,33,25060.69775,417.6782958,17.40326233,,,
core_30,34,1885.374605,31.42291008,1.30928792,,,
core_30,35,141.8411185,2.364018642,0.098500777,,,
core_30,36,10.67103739,0.177850623,0.007410443,,,
core_30,37,0.802806973,0.013380116,0.000557505,,,
core_31.5,33,54321.26337,905.3543895,37.72309956,,,
core_31.5,34,4086.715042,68.11191736,2.837996557,,,
core_31.5,35,307.4530819,5.124218031,0.213509085,,,
core_31.5,36,23.13041075,0.385506846,0.016062785,,,
core_31.5,37,1.740154622,0.029002577,0.001208441,,,
leading_28.5,33,19000.08838,316.6681397,13.19450582,,,
leading_28.5,34,1429.42086,23.823681,0.992653375,,,
leading_28.5,35,107.5386574,1.792310956,0.074679623,,,
leading_28.5,36,8.090383423,0.134839724,0.005618322,,,
leading_28.5,37,0.60865837,0.010144306,0.000422679,,,
leading_30,33,25717.58241,428.6263735,17.85943223,,,
leading_30,34,1934.793566,32.24655943,1.343606643,,,
leading_30,35,145.559022,2.4259837,0.101082654,,,
leading_30,36,10.95074392,0.182512399,0.007604683,,,
leading_30,37,0.823849946,0.013730832,0.000572118,,,
leading_31.5,33,52118.45707,868.6409511,36.19337296,,,
leading_31.5,34,3920.992798,65.34987997,2.722911665,,,
leading_31.5,35,294.9854118,4.916423531,0.20485098,,,
leading_31.5,36,22.19243893,0.369873982,0.015411416,,,
leading_31.5,37,1.669588819,0.02782648,0.001159437,,,
