"","group","t_coma","sCTmax_pred","z_pred"
"1","core_30",60,35.332549298335,0.89
"2","core_30",1140,34.194458593487,0.89
"3","core_30",10080,33.352024037599,0.89
"4","core_30",20160,33.084107341458,0.89
"5","core_28.5",60,35.3925544412432,0.89
"6","core_28.5",1140,34.2544637363952,0.89
"7","core_28.5",10080,33.4120291805072,0.89
"8","core_28.5",20160,33.1441124843662,0.89
"9","core_31.5",60,35.6315685642718,0.89
"10","core_31.5",1140,34.4934778594238,0.89
"11","core_31.5",10080,33.6510433035358,0.89
"12","core_31.5",20160,33.3831266073948,0.89
"13","leading_28.5",60,35.2255378900407,0.89
"14","leading_28.5",1140,34.0874471851927,0.89
"15","leading_28.5",10080,33.2450126293047,0.89
"16","leading_28.5",20160,32.9770959331638,0.89
"17","leading_30",60,35.3425502118716,0.89
"18","leading_30",1140,34.2044595070236,0.89
"19","leading_30",10080,33.3620249511356,0.89
"20","leading_30",20160,33.0941082549946,0.89
"21","leading_31.5",60,35.6155678668496,0.89
"22","leading_31.5",1140,34.4774771620016,0.89
"23","leading_31.5",10080,33.6350426061136,0.89
"24","leading_31.5",20160,33.3671259099726,0.89
