"","site","subsite_id","series","lat","lon","REGION"
"1","Green Island, Qld",2672,"GRESL1",-16.7755,145.9803,"Low"
"2","Moore Reef",2708,"MORSL1",-16.8477,146.2358,"Low"
"3","Arlington Reef",2738,"ARLSL1",-16.6461,146.1107,"Low"
"4","Frankland Islands",3177,"FRNKSL2",-17.227,146.0904,"Low"
"5","Snapper Island North",3291,"SNAPISSL1",-16.2919,145.4965,"Low"
"6","Thetford Reef",10635,"THETSL1",-16.7988,146.1981,"Low"
"7","Thetford Reef",13535,"THETFL1",-16.7995,146.1951,"Low"
"8","St Crispin Reef",12421,"STCRISPSL1",-16.0713,145.8453,"Low"
"9","Opal Reef",12579,"OPALSL1",-16.2034,145.9065,"Low"
"10","Peart Reef",12657,"PEARTSL1",-17.4665,146.4031,"Low"
"11","Feather Reef",12655,"FEATHSL1",-17.5179,146.3905,"Low"
"12","Hedley Reef",13638,"HEDLSL1",-17.2251,146.479,"Low"
"13","McCulloch Reef",12777,"MCCULLSL1",-17.2841,146.4796,"Low"
"14","Farquharson Reef",13637,"FARQSL1",-17.7912,146.5324,"Low"
"15","Taylor Reef",13636,"TAYLORSL1",-17.8107,146.5716,"Low"
"16","Hastings Reef",13898,"HASTSL1",-16.4995,146.0223,"Low"
"17","Agincourt Reef Number 1",14835,"AG1SL1",-16.0384,145.8688,"Low"
"18","Pine Island",3080,"PINESL1",-20.378,148.8884,"High"
"19","Seaforth Island",3087,"SEAFSL1",-20.4685,149.0389,"High"
"20","Shute and Tancred Islands",3679,"SHTANSL1",-20.3009,148.7983,"High"
"21","20-104 Reef",12204,"20104SL1",-20.0294,149.6951,"High"
"22","Border Island",12210,"BORDERSL1",-20.1819,149.0377,"High"
"23","21-245 Reef",12398,"21245SL1",-21.2965,152.4465,"High"
"24","21-062 Reef",12422,"21062SL1",-21.0266,150.8538,"High"
"25","21-139 Reef",12435,"21139SL1",-21.4547,151.4654,"High"
"26","21-187 Reef",12436,"21187SL1",-21.4054,151.6384,"High"
"27","Tern Reef",12763,"TERNSL1",-20.899,150.0289,"High"
"28","Penrith Reef",12760,"PENRITHSL1",-21.0032,149.8875,"High"
"29","21-591 Reef",12757,"21591SL1",-21.0266,150.3807,"High"
"30","21-550 Reef",12586,"21550SL1",-21.9612,152.3168,"High"
"31","Gannet Cay Reef",13639,"GANNETSL1",-21.9758,152.4797,"High"
