X,exp_date,sampleID,clutch_number,reef.abbrv,tank,dev.temp,replicate,system,chamber,rep,male,female,region,population,male_standard_length,male_mass,female_standard_length,female_mass,male_lat,male_long,female_lat,female_long,clutch_order,days_in_treatment,egg_count,date_of_hatch,hatching_time,hatching_success,intercept_b0,slope_b1,rsq,row,endrow,time,time_lag_sec,time_lag_min,endtime,oxy,endoxy,rate.input,rank,rate,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output,rate.output2,Temperature,age
1,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,1,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,158.2405392,-0.0256924,0.989,45,134,2371.75,0,0,2492.12,97.374,93.994,-0.025498207,1,-0.025498207,%Air,sec,0.06891,0.0010804,NA,37,30.169,1.019,-0.390253487,-361.212039,NA,mgO2/hr/kg,361.212039,0.390253487,30.369,139
2,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,3,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,194.3456233,-0.030327157,0.98,638,727,3172.18,800.43,13.3405,3292.19,98.052,94.784,-0.029918596,1,-0.029918596,%Air,sec,0.06891,0.0010804,NA,37,30.021,1.019,-0.458976185,-424.8206083,NA,mgO2/hr/kg,424.8206083,0.458976185,30.221,139
3,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,6,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,221.9197099,-0.028058934,0.954,1528,1616,4372.38,2000.63,33.34383333,4491.15,98.747,95.655,-0.027329035,1,-0.027329035,%Air,sec,0.06891,0.0010804,NA,37,30.032,1.019,-0.419177499,-387.9836165,NA,mgO2/hr/kg,387.9836165,0.419177499,30.232,139
4,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,8,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,250.8523105,-0.029360218,0.979,2122,2211,5172.9,2801.15,46.68583333,5292.83,98.802,95.129,-0.028415723,1,-0.028415723,%Air,sec,0.06891,0.0010804,NA,37,30.226,1.019,-0.434516938,-402.1815424,NA,mgO2/hr/kg,402.1815424,0.434516938,30.426,139
5,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,10,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,256.3533686,-0.026553474,0.962,2715,2804,5971.99,3600.24,60.004,6092.07,97.53,94.812,-0.025394902,1,-0.025394902,%Air,sec,0.06891,0.0010804,NA,37,30.491,1.019,-0.386713449,-357.9354395,NA,mgO2/hr/kg,357.9354395,0.386713449,30.691,139
6,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,11,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,248.859742,-0.023665477,0.968,3012,3101,6371.98,4000.23,66.6705,6491.96,97.891,94.998,-0.02239977,1,-0.02239977,%Air,sec,0.06891,0.0010804,NA,37,30.529,1.019,-0.340900745,-315.5319739,NA,mgO2/hr/kg,315.5319739,0.340900745,30.729,139
7,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,12,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,266.3808859,-0.024841901,0.99,3310,3399,6773.14,4401.39,73.3565,6892.98,97.951,94.958,-0.023468751,1,-0.023468751,%Air,sec,0.06891,0.0010804,NA,37,30.717,1.019,-0.356121473,-329.6200234,NA,mgO2/hr/kg,329.6200234,0.356121473,30.917,139
8,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,13,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,262.3689379,-0.022859689,0.962,3607,3696,7172.96,4801.21,80.02016667,7292.82,98.114,95.483,-0.021379434,1,-0.021379434,%Air,sec,0.06891,0.0010804,NA,37,30.801,1.019,-0.323992676,-299.8821508,NA,mgO2/hr/kg,299.8821508,0.323992676,31.001,139
9,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,14,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,311.4756926,-0.0281107,0.952,3904,3993,7572.72,5200.97,86.68283333,7692.56,98.26,95.043,-0.026523363,1,-0.026523363,%Air,sec,0.06891,0.0010804,NA,37,30.814,1.019,-0.401864395,-371.9588996,NA,mgO2/hr/kg,371.9588996,0.401864395,31.014,139
10,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,15,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,238.7668123,-0.017646543,0.955,4201,4290,7972.21,5600.46,93.341,8091.77,98.016,95.64,-0.015952229,1,-0.015952229,%Air,sec,0.06891,0.0010804,NA,37,30.994,1.019,-0.241021021,-223.0849883,NA,mgO2/hr/kg,223.0849883,0.241021021,31.194,139
11,14/07/2023,101.LSBI.135.30.1,101,LSBI,135,30,1,ASUS,ch4,17,LSBI028,LSBI027,leading,St. Bee's Island,90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,25/02/2023,10,0.92226,278.2457371,-0.020529712,0.982,4796,4885,8772.74,6400.99,106.6831667,8892.55,98.154,95.436,-0.018620921,1,-0.018620921,%Air,sec,0.06891,0.0010804,NA,37,31.165,1.019,-0.2805956,-259.7145504,NA,mgO2/hr/kg,259.7145504,0.2805956,31.365,139
