CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_CTMAX	AGE_DAYS	TRAY_COL	DEV_TEMP	TANK	REP	EXP_TANK	TRAY_ORD	LENGTH	MASS	RAMP_START_TIME	LOE_TIME	LOE_mean_JMD	LOE_TEMP_SENSOR	LOE_TEMP_HOBO	TEMP_DIFF	SURVIVAL_TIME	HOBO_OFFSET	LOE_TEMP_HOBO_ACTUAL	FIL_TEMP_DIFF	LOE_MEAN_EAS	EXPERIMENT	NOTES		
56	CARL217	CARL226	core	Arlington Reef	12/01/2023	1/06/2023	140		28.5	137	2			34.33	1.3285	12:17:20 PM						#VALUE!				34.900	Resp			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	10/07/2023	137		30	234	1			35.02	1.7088	1:15:00 PM	7:08:00 PM					5:53:00				36.590	Resp			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	5/07/2023	132		28.5	342	2			30.24	0.9894	1:00:00 PM	6:43:00 PM					5:43:00				36.650	Resp			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	12/07/2023	139	red	28.5	238	2	6	5	32.29	1.3224	12:13:52 PM	6:04:00 PM		36.7	36.715	0.07	5:50:08	0.010	36.705	0.055	36.678	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	345	1	6	1	32.59	1.3328	11:43:22 AM	5:25:00 PM		36.7	36.661	-0.04	5:41:38	0.001	36.660	-0.040	36.680	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	7/07/2023	134		28.5	238	2			35.56	1.7490	1:08:13 PM	6:51:00 PM					5:42:47				36.690	Resp			
108	CARL369	CARL349	core	Arlington Reef	5/03/2023	6/07/2023	123	white	28.5	344	2	4	2	23.17	0.4615	11:43:22 AM	5:24:00 PM		36.7	36.661	-0.04	5:40:38	-0.029	36.690	-0.010	36.695	CTmax	"Used logger from tank 6, this HOBO logger did not start recordeding until 10:30PM instead of 10:30AM"		
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	6/07/2023	133	red	30	250	1	6	1	22.21	0.4312	11:43:22 AM	5:28:00 PM		36.7	36.742	0.04	5:44:38	0.001	36.741	0.041	36.721	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	6/07/2023	133	red	30	250	1	6	3	30.95	1.1995	11:43:22 AM	5:28:00 PM		36.7	36.742	0.04	5:44:38	0.001	36.741	0.041	36.721	CTmax			
108	CARL369	CARL349	core	Arlington Reef	5/03/2023	6/07/2023	123	white	28.5	344	2	4	1	30.35	1.1130	11:43:22 AM	5:27:00 PM		36.7	36.715	0.02	5:43:38	-0.029	36.744	0.044	36.722	CTmax	"Used logger from tank 6, this HOBO logger did not start recordeding until 10:30PM instead of 10:30AM"		
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	342	1	2	1	30.54	1.2308	11:43:22 AM	5:25:00 PM		36.7	36.824	0.12	5:41:38	0.077	36.747	0.047	36.724	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	342	1	2	4	35.58	1.8944	11:43:22 AM	5:25:00 PM		36.7	36.824	0.12	5:41:38	0.077	36.747	0.047	36.724	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	342	1	2	3	31.76	1.2834	11:43:22 AM	5:27:00 PM		36.7	36.851	0.15	5:43:38	0.077	36.774	0.074	36.737	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	342	1	2	5	31.95	1.2918	11:43:22 AM	5:27:00 PM		36.7	36.851	0.15	5:43:38	0.077	36.774	0.074	36.737	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	7/07/2023	134		28.5	238	2			33.70	1.4824	1:08:13 PM	6:56:00 PM					5:47:47				36.770	Resp			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	7/07/2023	134		30	233	2			28.29	0.8216	1:08:13 PM	6:57:00 PM					5:48:47				36.780	Resp			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	12/07/2023	139	red	28.5	238	2	6	4	31.02	1.2379	12:13:52 PM	6:09:00 PM			36.796		5:55:08	0.010	36.786		36.786	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	12/07/2023	139	red	28.5	238	2	6	3	31.33	1.3210	12:13:52 PM	6:09:00 PM			36.796		5:55:08	0.010	36.786		36.786	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	12/07/2023	139	red	28.5	238	2	6	1	32.89	1.4783	12:13:52 PM	6:09:00 PM			36.796		5:55:08	0.010	36.786		36.786	CTmax			
108	CARL369	CARL349	core	Arlington Reef	5/03/2023	6/07/2023	123	white	28.5	344	2	4	4	30.65	1.1814	11:43:22 AM	5:32:00 PM		36.8	36.796	0.05	5:48:38	-0.029	36.825	0.075	36.788	CTmax	"Used logger from tank 6, this HOBO logger did not start recordeding until 10:30PM instead of 10:30AM"		
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	13/07/2023	140	blue	28.5	342	2	4	1	30.01	1.1308	11:50:15 AM	5:38:00 PM		36.9	36.756	-0.09	5:47:45	0.018	36.738	-0.112	36.794	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	13/07/2023	140	blue	28.5	342	2	4	5	33.31	1.5401	11:50:15 AM	5:38:00 PM		36.9	36.756	-0.09	5:47:45	0.018	36.738	-0.112	36.794	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	345	1	6	5	31.77	1.3273	11:43:22 AM	5:32:00 PM		36.8	36.796	0.00	5:48:38	0.001	36.795	-0.005	36.798	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	345	1	6	2	32.79	1.5218	11:43:22 AM	5:32:00 PM		36.8	36.796	0.00	5:48:38	0.001	36.795	-0.005	36.798	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	345	1	6	4	33.91	1.5448	11:43:22 AM	5:32:00 PM		36.8	36.796	0.00	5:48:38	0.001	36.795	-0.005	36.798	CTmax			
108	CARL369	CARL349	core	Arlington Reef	5/03/2023	6/07/2023	123	white	28.5	344	2	4	3	29.87	1.1177	11:43:22 AM	5:30:00 PM		36.8	36.769	-0.03	5:46:38	-0.029	36.798	-0.002	36.799	CTmax	"Used logger from tank 6, this HOBO logger did not start recordeding until 10:30PM instead of 10:30AM"		
108	CARL369	CARL349	core	Arlington Reef	5/03/2023	6/07/2023	123	white	28.5	344	2	4	5	32.63	1.4314	11:43:22 AM	5:30:00 PM		36.8	36.769	-0.03	5:46:38	-0.029	36.798	-0.002	36.799	CTmax	"Used logger from tank 6, this HOBO logger did not start recordeding until 10:30PM instead of 10:30AM"		
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	13/07/2023	140		30	233	2			29.34	0.9631	11:45:00 AM	5:40:00 PM					5:55:00				36.810	Resp			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	6/07/2023	133	white	28.5	342	1	2	2	36.10	2.0852	11:43:22 AM	5:31:00 PM		36.8	36.960	0.16	5:47:38	0.077	36.883	0.083	36.842	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	6/07/2023	133	red	30	234	1	2	5	28.78	0.9182	11:43:22 AM	6:58:00 PM		36.8	36.905	0.11	7:14:38	0.010	36.895	0.095	36.848	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	6/07/2023	133	red	30	234	1	2	4	34.16	1.5254	11:43:22 AM	6:58:00 PM		36.8	36.905	0.11	7:14:38	0.010	36.895	0.095	36.848	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	10/07/2023	137		30	234	1			40.26	2.2131	1:15:00 PM	7:24:00 PM					6:09:00				36.850	Resp			
108	CARL369	CARL349	core	Arlington Reef	5/03/2023	6/07/2023	123		28.5	236	1			33.09	1.3290	11:43:22 AM	5:31:00 PM					5:47:38				36.880	Resp			
108	CARL369	CARL349	core	Arlington Reef	5/03/2023	13/07/2023	130	blue	28.5	236	1	3	4	25.06	0.6129	11:50:15 AM	5:41:00 PM			36.905		5:50:45	0.023	36.882		36.882	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	13/07/2023	140	red	31.5	258	1	4	5	26.76	0.7508	11:50:15 AM	5:41:00 PM		37.0	36.796	-0.20	5:50:45	0.018	36.778	-0.222	36.889	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	12/07/2023	139	white	30	233	2	6	1	25.22	0.6884	12:13:52 PM	6:16:00 PM			36.905		6:02:08	0.010	36.895		36.895	CTmax			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	5/07/2023	132		28.5	342	2			33.91	1.5155	1:00:00 PM	7:01:00 PM					6:01:00				36.900	Resp			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	13/07/2023	140	blue	28.5	342	2	4	2	33.12	1.4294	11:50:15 AM	5:44:00 PM		37.0	36.878	-0.07	5:53:45	0.018	36.860	-0.090	36.905	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	6/07/2023	133	red	30	250	1	6	5	28.21	0.9454	11:43:22 AM	5:39:00 PM		36.9	36.933	0.03	5:55:38	0.001	36.932	0.032	36.916	CTmax			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	14/07/2023	141		30	233	2			34.49	1.5760	11:30:00 AM	5:37:00 PM					6:07:00				36.930	Resp			
96	CARL338	CARL345	core	Arlington Reef	23/02/2023	14/07/2023	141		31.5	157	1			33.95	1.7159	11:30:00 AM	5:37:00 PM					6:07:00				36.930	Resp			
99	CARL335	CARL359	core	Arlington Reef	23/02/2023	5/07/2023	132		31.5	324	2			36.12	1.8135	1:00:00 PM	7:04:00 PM					6:04:00				36.950	Resp			
