CLUTCH_NUMBER	DATA_EGGS_FOUND	COLOR	MALE	FEMALE	REGION	POPULATION	MALE_STANDARD_LENGTH	MALE_MASS	FEMALE_STANDARD_LENGTH	FEMALE_MASS	MALE_LAT	MALE_LONG	FEMALE_LAT	FEMALE_LONG	TEMPERATURE	TANK	ROOM	CLUTCH_ORDER	DAYS_IN_TREATMENT	DATE_EGGS_LAST_CHECKED	PHOTO	DATE_OF_PHOTO	NUMBER_OF_EGGS_SAMPLED	NUMBER_OF_EGGS_LOST	EGG_COUNT	RESEARCHER	PHOTO_FOR_COUNT	DATE_OF_HATCH	HATCHING_TIME	HATCHLING_PHOTO_FILE	HATCHLINGS_PHOTO	HATCHLINGS_MEASURED	HATCHLINGS_EXP_USED	HATCHLINGS_UNHATCHED	HATCHLINGS_EXTRA	HATCHLINGS	HATCHING_SUCCESS	PROJECT_CODE	notes_hatchlings	notes
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	NA	Y	17/12/2022	11	0	432	EAS	IMG_6972	27/12/2022	NA	IMG_6985	284	0	0	25	0	309	0.73397	1	YYC: hatchling photo for clutch 48 was taken when 25 eggs were unhatched_02/01/2022	
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	91.50	36.70	86.50	31.03	-16.702	145.986	-16.702	145.986	27	247	3	1	29	NA	Y	17/12/2022	11	1	390	EAS	IMG_6966	25/12/2022	NA	IMG_7074	244	31	0	4	0	279	0.73810	1	YYC: hatchling photo for clutch 51 taken when 4 eggs were unhatched_03/01/2022	
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	102.82	54.16	88.02	33.47	-20.772	149.398	-20.772	149.398	28.5	242	3	1	30	16/12/2022	Y	17/12/2022	11	0	332	EAS	IMG_6976	28/12/2022	11	IMG_7120	62	30	120	0	2	214	0.66667	2	hatchlings = 30 +120 + 2 + photo	
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	80.34	23.91	83.54	29.23	-16.702	145.986	-16.702	145.986	30	112	3	1	32	19/12/2022	Y	20/12/2022	13	0	580	EAS	IMG_7011	29/12/2022	9	NA	0	30	60	0	0	90	0.15873	1	hatchlings = 60 + photo taken for hatchling measurements	
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	98.82	52.14	103.54	58.30	-16.996	146.202	-16.996	146.202	27	271	3	2	33	20/12/2022	Y	21/12/2022	10	0	608	EAS	IMG_7022	1/01/2023	11	IMG_7169	347	30	90	25	0	492	0.82274	1	hatchlings = 30 + 90  + photo + 25(unhatched)	
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	90.00	36.79	96.32	43.73	-16.657	145.990	-16.657	145.990	28.5	137	3	3	34	21/12/2022	Y	21/12/2022	10	0	548	EAS	IMG_7029	31/12/2022	9	IMG_7137	123	30	330	0	2	485	0.90149	5	hatchlings = 30 + 90 + 240 + 2 + photo	
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	93.41	41.41	94.34	38.92	-16.702	145.986	-16.702	145.986	30	109	3	2	36	23/12/2022	Y	24/12/2022	10	2	524	EAS	IMG_7049	2/01/2023	9	IMG_7178	350	30	90	25	0	495	0.96680	1	hatchlings = 30 + 90 + photo + 25(unhatched)	
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	91.88	36.33	98.46	48.79	-16.657	145.990	-16.657	145.990	30	105	3	3	43	30/12/2022	Y	31/12/2022	10	0	495	EAS	MIG_7127	9/01/2023	9	IMG_7256	335	30	90	0	0	455	0.93814	1	hatchlings = 30 +90 + photo	
55	1/01/2023	white	CPRE189	CPRE202	core	Pretty Patches	98.74	57.31	99.60	47.19	-16.622	146.042	-16.622	146.042	30	208	3	2	44	31/12/2022	Y	1/01/2023	11	0	408	EAS	IMG_7147	11/01/2023	10	IMG_7259	129	30	90	16	1	266	0.67003	1	hatchlings = 30 + 90+photo + 1 + 16 (unhatched)	
56	4/01/2023	white	CARL217	CARL226	core	Arlington Reef	78.40	23.15	72.47	16.28	-16.702	145.986	-16.702	145.986	28.5	144	3	2	47	3/01/2023	Y	4/01/2023	11	0	328	EAS	IMG_7188	12/01/2023	8	IMG_7521	51	30	210	0	8	299	0.94322	3	hatchlings = 30 + 90 + 120 + photo + 8	
57	5/01/2023	white	CARL241	CARL239	core	Arlington Reef	97.40	45.17	NA	NA	-16.702	145.986	-16.702	145.986	27	150	3	2	48	4/01/2023	Y	5/01/2023	10	2	515	EAS	IMG_7195	16/01/2023	11	IMG_7597	236	30	90	0	0	356	0.70775	1	hatchlings = 30 + 90 + photo	Cannot find body of deceased female CARL239
58	5/01/2023	white	CVLA089	CVLA059	core	Vlassof Cay	87.22	31.58	98.68	51.72	-16.657	145.990	-16.657	145.990	30	158	3	2	48	4/01/2023	Y	5/01/2023	11	1	482	EAS	IMG_7201	13/01/2023	8	IMG_7535	201	30	90	24	4	349	0.74255	1	hatchlings = 30 + 90 + photo + 24 (unhatched) + 4	IMG_7520 also counted
59	7/01/2023	some color	CARL354	CARL355	core	Arlington Reef	87.22	31.58	84.76	29.85	-16.702	145.986	-16.702	145.986	27	124	3	2	50	16/12/2022	Y	7/01/2023	10	0	326	EAS	IMG_7225	17/01/2023	NA	NA	0	30	45	0	0	75	0.23734	1	hatchlings = 75	
60	7/01/2023	white	LCKM159	LCKM155	leading	Cockermouth Island	87.56	30.55	86.58	30.34	-20.772	149.398	-20.772	149.398	28.5	237	3	2	50	6/01/2023	Y	7/01/2023	12	0	317	EAS	IMG_7230	17/01/2023	10	IMG_7614	127	30	120	0	4	281	0.92131	2	hatchlings = 30 + 120 +4 + photo	
61	11/01/2023	white	CSUD016	CSUD078	core	Sudbury Reef	97.12	45.99	96.58	43.93	-16.996	146.202	-16.996	146.202	28.5	230	3	2	54	10/01/2023	Y	11/01/2023	10	0	421	EAS	IMG_7265	19/01/2023	8	NA	0	23	330	5	0	358	0.87105	5	hatchlings = 90 + 240 + 23 + 5 (unhatched) = 358	
62	13/01/2023	white	CVLA049	CVLA098	core	Vlassof Cay	90.00	36.79	96.32	43.73	-16.657	145.990	-16.657	145.990	28.5	137	3	4	56	12/01/2023	Y	13/01/2023	10	0	476	EAS	IMG_7523	23/01/2023	10	IMG_7747	141	30	270	0	0	441	0.94635	3	hatchlings = 90 + 30 +180 +  photo	
63	14/01/2023	white	CSUD009	CSUD212	core	Sudbury Reef	103.00	50.94	103.80	49.03	-16.996	146.202	-16.996	146.202	27	172	3	2	57	13/01/2023	Y	14/01/2023	11	0	493	EAS	IMG_7546	25/01/2023	11	IMG_7780	238	30	90	0	0	358	0.74274	1	hatchlings = 90 + 30 + photo	
64	14/01/2023	white	CSUD002	CSUD213	core	Sudbury Reef	100.00	48.28	93.42	45.25	-16.996	146.202	-16.996	146.202	28.5	65	2	1	17	13/01/2023	Y	14/01/2023	12	0	416	EAS	IMG_7550	25/01/2023	11	IMG_7759	114	30	0	0	0	144	0.35644	0	hatchlings = 30 + photo	
65	17/01/2023	white	LSBI028	LSBI027	leading	St. Bee's Island	90.00	33.61	91.51	NA	-20.927	149.663	-20.927	149.663	28.5	233	3	2	60	16/01/2023	Y	17/01/2023	10	0	321	EAS	IMG_7604	27/01/2023	10	IMG_7798	130	30	120	0	0	280	0.90032	2	hatchlings = 30 + 120 +photo	
66	19/01/2023	white	CPRE375	CPRE377	core	Pretty Patches	102.52	54.28	101.42	55.75	-16.622	146.042	-16.622	146.042	27	268	3	1	62	18/01/2022	Y	19/01/2023	11	0	506	EAS	IMG_7624	30/01/2023	11	IMG_7883	352	30	90	0	4	476	0.96162	1	hatchlings = 30 + 90 + 4 (unhatched) + photo	
67	19/01/2023	white	CSUD013	CSUD017	core	Sudbury Reef	98.82	52.14	103.54	58.30	-16.996	146.202	-16.996	146.202	27	271	3	3	62	18/01/2022	Y	19/01/2023	12	0	689	EAS	IMG_7635	30/01/2023	11	IMG_7878	435	30	90	3	0	558	0.82422	1	hatchlings = 30 + 90 + 3 (unhatched) + photo	
68	20/01/2023	white	CARL218	CARL222	core	Arlington Reef	93.41	41.41	94.34	38.92	-16.702	145.986	-16.702	145.986	30	109	3	3	63	19/01/2023	Y	20/01/2023	10	2	503	EAS	IMG_7651	29/01/2023	9	IMG_7833	269	30	90	0	0	389	0.79226	1	hatchlings = 30 + 90 + photo  	
69	20/01/2023	white	LCKM164	LCKM156	leading	Cockermouth Island	102.82	54.16	88.02	33.47	-20.772	149.398	-20.772	149.398	28.5	242	3	2	63	19/01/2023	Y	20/01/2023	11	0	400	EAS	IMG_7655	30/01/2023	10	IMG_7870	116	30	120	14	0	280	0.71979	2	hatchlings = 30 + 120 + 14 (unhatched) + photo 	
70	20/01/2023	white	CSUD310	CSUD306	core	Sudbury Reef	95.42	47.19	93.82	42.83	-16.996	146.202	-16.996	146.202	30	255	3	2	63	19/01/2023	Y	20/02/2023	11	0	520	EAS	IMG_7663	29/01/2023	9	NA	NA	NA	NA	NA	NA	NA	NA	0	hatchlings = NA most hatchlings were eaten	
71	21/01/2023	white	CVLA106	CVLA091	core	Vlassof Cay	91.88	36.33	98.46	48.79	-16.657	145.990	-16.657	145.990	30	105	3	4	64	20/01/2023	Y	21/07/2023	11	0	468	EAS	IMG_7682	30/01/2023	9	IMG_7855	304	30	90	0	0	424	0.92779	1	hatchlings = 30 + 90 + photo	
72	21/01/2023	white	LSBI042	LSBI030	leading	St. Bee's Island	87.10	32.62	89.12	36.67	-20.927	149.663	-20.927	149.663	28.5	136	3	1	64	20/01/2023	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	pair ate all the eggs :(	
