CLUTCH_NUMBER	DATA_EGGS_FOUND	COLOR	MALE	FEMALE	REGION	POPULATION	TEMPERATURE	TANK	ROOM	CLUTCH_ORDER	DAYS_IN_TREATMENT	DATE_EGGS_LAST_CHECKED	SAMPLE	EGG_SIZE	IMAGE	NOTES	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	1	0.061	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	2	0.061	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	3	0.058	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	4	0.058	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	5	0.060	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	6	0.062	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	7	0.062	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	8	0.058	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	9	0.067	IMG_6990		
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	27	168	3	1	29	NA	10	0.058	IMG_6990		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	1	0.046	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	2	0.038	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	3	0.045	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	4	0.039	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	5	0.041	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	6	0.043	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	7	0.038	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	8	0.040	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	9	0.042	IMG_6992		
40	16/12/2022	mostly colored	CARL237	CARL219	core	Arlington Reef	27	247	3	1	29	NA	10	0.035	IMG_6992		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	1	0.058	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	2	0.060	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	3	0.064	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	4	0.057	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	5	0.055	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	6	0.057	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	7	0.055	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	8	0.058	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	9	0.053	IMG_6983		
46	17/12/2022	white	LCKM164	LCKM156	leading	Cockermouth Island	28.5	242	3	1	30	16/12/2022	10	0.053	IMG_6983		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	1	0.037	IMG_7013	"Skipped eggs 3,6 and 7 in the image order because they were squished and used the extra ones "	
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	2	0.037	IMG_7013		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	3	0.042	IMG_7013		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	4	0.037	IMG_7013		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	5	0.039	IMG_7013		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	6	0.036	IMG_7013		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	7	0.041	IMG_7013		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	8	0.039	IMG_7013		
47	20/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	9	0.035	IMG_7013		
47	21/12/2022	white	CARL344	CARL370	core	Arlington Reef	30	112	3	1	32	19/12/2022	10	0.041	IMG_7013		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	1	0.053	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	2	0.052	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	3	0.044	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	4	0.051	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	5	0.051	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	6	0.053	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	7	0.054	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	8	0.050	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	9	0.048	IMG_7024		
48	21/12/2022	white	CSUD013	CSUD017	core	Sudbury Reef	27	271	3	2	33	20/12/2022	10	0.050	IMG_7024		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	1	0.048	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	2	0.045	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	3	0.048	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	4	0.043	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	5	0.045	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	6	0.050	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	7	0.047	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	8	0.043	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	9	0.046	IMG_7039		
49	22/12/2022	white	CVLA049	CVLA098	core	Vlassof Cay	28.5	137	3	3	34	21/12/2022	10	0.043	IMG_7039		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	1	0.051	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	2	0.048	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	3	0.042	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	4	0.047	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	5	0.043	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	6	0.049	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	7	0.050	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	8	0.048	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	9	0.050	IMG_7050		
51	24/12/2022	white	CARL218	CARL222	core	Arlington Reef	30	109	3	2	36	23/12/2022	10	0.050	IMG_7050		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	1	0.049	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	2	0.045	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	3	0.052	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	4	0.048	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	5	0.057	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	6	0.042	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	7	0.049	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	8	0.048	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	9	0.047	IMG_7155		
54	31/12/2022	white	CVLA106	CVLA091	core	Vlassof Cay	30	105	3	3	43	30/12/2022	10	0.052	IMG_7155		
55	1/01/2023	white	CPRE189	CPRE202	core	Pretty Patches	30	208	3	2	44	31/12/2022	1	0.042	IMG_7160		
55	1/01/2023	white	CPRE189	CPRE202	core	Pretty Patches	30	208	3	2	44	31/12/2022	2	0.041	IMG_7160		
55	1/01/2023	white	CPRE189	CPRE202	core	Pretty Patches	30	208	3	2	44	31/12/2022	3	0.039	IMG_7160		
