CLUTCH_NUMBER	MALE	FEMALE	REGION	POPULATION	DATE_OF_HATCH	DATE_SAMPLED	AGE_DAYS	DEV_TEMP	TANK	REP	LENGTH	MASS	EXPERIMENT	NOTES		
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	38.69	1.8520	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	37.20	1.5460	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	37.65	1.6841	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	37.18	1.6130	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	37.31	1.5373	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	35.34	1.5314	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	33.41	1.2151	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	32.89	1.1610	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	34.46	1.2524	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	33.10	1.0740	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	34.41	1.2188	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	37.94	1.7042	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	32.79	1.1050	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	30.86	0.9173	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	38.38	1.5481	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	31.93	0.9619	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	38.22	1.6400	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	33.09	0.9990	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	346	2	32.80	1.1372	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	37.04	1.6270	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	36.68	1.6528	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	39.36	2.0325	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	35.42	1.4318	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	33.96	1.2858	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	32.06	1.0728	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	38.42	1.7596	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	28.47	0.7350	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	28.5	239	1	26.28	0.5350	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	37.11	1.6167	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	37.86	1.6909	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	35.66	1.4377	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	35.68	1.4977	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	34.37	1.2639	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	34.60	1.3095	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	35.29	1.4912	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	33.80	1.2415	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	34.99	1.2868	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	33.04	1.1101	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	29.15	0.8102	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	33.85	1.1289	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	32.64	1.1401	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	30.79	0.9467	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	32.65	1.1207	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	33.14	1.1204	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	35.12	1.2790	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	235	1	28.01	0.7480	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	37.50	1.6464	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	37.15	1.6400	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	38.15	1.8496	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	34.46	1.3558	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	35.86	1.5155	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	41.21	2.2841	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	36.56	1.6587	growth			
46	LCKM164	LCKM156	leading	Cockermouth Island	28/12/2022	16/06/2023	170	30	349	2	36.78	1.4961	growth			
