CLUTCH_NUMBER	DATA_EGGS_FOUND	COLOR	MALE	FEMALE	REGION	POPULATION	MALE_STANDARD_LENGTH	MALE_MASS	FEMALE_STANDARD_LENGTH	FEMALE_MASS	MALE_LAT	MALE_LONG	FEMALE_LAT	FEMALE_LONG	TEMPERATURE	TANK	ROOM	CLUTCH_ORDER	DAYS_IN_TREATMENT	SAMPLE_NO	SL	MASS	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	1		0.0023	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	2		0.0017	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	3		0.0019	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	4		0.0017	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	5		0.0019	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	6		0.0018	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	7		0.0019	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	8		0.0014	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	9		0.0016	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	10		0.0019	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	11		0.0016	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	12		0.0012	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	13		0.0018	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	14		0.0010	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	15		0.0011	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	16		0.0021	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	17		0.0020	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	18		0.0023	
38	16/12/2022	white	CPRE372	CPRE209	core	Pretty Patches	102.30	58.01	102.40	52.70	-16.622	146.042	-16.622	146.042	27	168	3	1	29	19		0.0019	
