,site,subsite_id,series,lat,lon,REGION
1,Davies Reef,2630,DAVSL1,-18.806,147.6686,Low
2,Davies Reef,3272,DAVAWSL2,-18.8313,147.634,Low
3,Myrmidon Reef,2726,MYRSL1,-18.2572,147.3813,Low
4,Orpheus Island,14957,ORPHCH2,-18.6017,146.4881,Low
5,Rib Reef,10200,RIBSL1,-18.4719,146.8788,Low
6,John Brewer,2723,JBRSL1,-18.6188,147.0815,Low
7,Kelso Reef,2620,KELSL1,-18.4221,146.9846,Low
8,Dip Reef,2633,DIPSL1,-18.3999,147.4519,Low
9,"Green Island, Qld",2672,GRESL1,-16.7755,145.9803,Low
10,Moore Reef,2708,MORSL1,-16.8477,146.2358,Low
11,Arlington Reef,2738,ARLSL1,-16.6461,146.1107,Low
12,Frankland Islands,3177,FRNKSL2,-17.227,146.0904,Low
13,Pandora Reef,3247,PANSL1,-18.8168,146.4346,Low
14,Pandora Reef,10016,PANSL2,-18.8116,146.43,Low
15,Snapper Island North,3291,SNAPISSL1,-16.2919,145.4965,Low
16,Chicken Reef,2635,CHISL1,-18.6521,147.7217,Low
17,Flinders Reef,14617,FLINDERSSL2,-17.7123,148.4509,Low
18,Havannah Island,14975,HAVSL2,-18.8315,146.5374,Low
19,Thetford Reef,10635,THETSL1,-16.7988,146.1981,Low
20,Thetford Reef,13535,THETFL1,-16.7995,146.1951,Low
21,19-131 Reef,12196,19131SL1,-19.7662,149.3802,Low
22,19-131 Reef,15438,19131SL3,-19.7728,149.376,Low
23,19-138 Reef,12198,19138SL1,-19.8069,149.4305,Low
24,Rebe Reef,12208,REBESL1,-19.7919,150.1612,Low
25,St Crispin Reef,12421,STCRISPSL1,-16.0713,145.8453,Low
26,Opal Reef,12579,OPALSL1,-16.2034,145.9065,Low
27,Peart Reef,12657,PEARTSL1,-17.4665,146.4031,Low
28,Feather Reef,12655,FEATHSL1,-17.5179,146.3905,Low
29,Hedley Reef,13638,HEDLSL1,-17.2251,146.479,Low
30,McCulloch Reef,12777,MCCULLSL1,-17.2841,146.4796,Low
31,Farquharson Reef,13637,FARQSL1,-17.7912,146.5324,Low
32,Taylor Reef,13636,TAYLORSL1,-17.8107,146.5716,Low
33,Roxburgh Reef,12761,ROXSL1,-18.4283,147.0593,Low
34,Helix Reef,12656,HELIXSL1,-18.6201,147.2976,Low
35,Grub Reef,12758,GRUBSL1,-18.6216,147.4327,Low
36,Knife Reef,12775,KNIFESL1,-18.5711,147.5772,Low
37,Hastings Reef,13898,HASTSL1,-16.4995,146.0223,Low
38,Agincourt Reef Number 1,14835,AG1SL1,-16.0384,145.8688,Low
39,Pine Island,3080,PINESL1,-20.378,148.8884,High
40,Seaforth Island,3087,SEAFSL1,-20.4685,149.0389,High
41,Shute and Tancred Islands,3679,SHTANSL1,-20.3009,148.7983,High
42,20-104 Reef,12204,20104SL1,-20.0294,149.6951,High
43,Border Island,12210,BORDERSL1,-20.1819,149.0377,High
44,21-245 Reef,12398,21245SL1,-21.2965,152.4465,High
45,21-062 Reef,12422,21062SL1,-21.0266,150.8538,High
46,21-139 Reef,12435,21139SL1,-21.4547,151.4654,High
47,21-187 Reef,12436,21187SL1,-21.4054,151.6384,High
48,Tern Reef,12763,TERNSL1,-20.899,150.0289,High
49,Penrith Reef,12760,PENRITHSL1,-21.0032,149.8875,High
50,21-591 Reef,12757,21591SL1,-21.0266,150.3807,High
51,21-550 Reef,12586,21550SL1,-21.9612,152.3168,High
52,Gannet Cay Reef,13639,GANNETSL1,-21.9758,152.4797,High
