"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",2,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,352.768327116662,-0.0503810965882069,0.995,461,581,5007.54,0,0,5127.54,100.3,94.546,-0.0503019895139922,1,-0.0503019895139922,"%Air","sec",0.07193,0.0019722,NA,37,30.034,1.019,-0.805328301203738,-408.340077681644,NA,"mgO2/hr/kg",408.340077681644,0.805328301203738,30.034,135
"2",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",3,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,297.68351039914,-0.0364245194300799,0.965,861,981,5407.54,400,6.66666666666667,5527.54,100.24,95.854,-0.036285543983205,1,-0.036285543983205,"%Air","sec",0.07193,0.0019722,NA,37,30.036,1.019,-0.580908529639039,-294.548488814035,NA,"mgO2/hr/kg",294.548488814035,0.580908529639039,30.036,135
"3",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",4,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,332.249008868448,-0.0399156889310396,0.982,1261,1381,5807.54,800,13.3333333333333,5927.54,100.23,95.586,-0.0397168451115044,1,-0.0397168451115044,"%Air","sec",0.07193,0.0019722,NA,37,29.968,1.019,-0.636523328823382,-322.747859660978,NA,"mgO2/hr/kg",322.747859660978,0.636523328823382,29.968,135
"4",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",5,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,389.267356077581,-0.0466966543186768,0.987,1661,1781,6207.54,1200,20,6327.54,99.557,94.157,-0.0464379421264814,1,-0.0464379421264814,"%Air","sec",0.07193,0.0019722,NA,37,29.981,1.019,-0.744086677103791,-377.287636702054,NA,"mgO2/hr/kg",377.287636702054,0.744086677103791,29.981,135
"5",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",6,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,430.511871214965,-0.0499834574436842,0.993,2061,2181,6607.54,1600,26.6666666666667,6727.54,99.807,93.982,-0.0496648768788285,1,-0.0496648768788285,"%Air","sec",0.07193,0.0019722,NA,37,30.001,1.019,-0.795541799390134,-403.377851835582,NA,"mgO2/hr/kg",403.377851835582,0.795541799390134,30.001,135
"6",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",7,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,362.073015815268,-0.0373446341578167,0.962,2461,2581,7007.54,2000,33.3333333333333,7127.54,100.02,95.516,-0.0369661852203007,1,-0.0369661852203007,"%Air","sec",0.07193,0.0019722,NA,37,29.983,1.019,-0.592299688045387,-300.32435252276,NA,"mgO2/hr/kg",300.32435252276,0.592299688045387,29.983,135
"7",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",8,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,421.669242073638,-0.0433739790536692,0.964,2861,2981,7407.54,2400,40,7527.55,99.877,94.957,-0.0429356609951383,1,-0.0429356609951383,"%Air","sec",0.07193,0.0019722,NA,37,29.976,1.019,-0.688022993208187,-348.860659774965,NA,"mgO2/hr/kg",348.860659774965,0.688022993208187,29.976,135
"8",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",9,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,400.861805558933,-0.0384964736298164,0.972,3261,3381,7807.54,2800,46.6666666666667,7927.54,100.03,95.848,-0.0379982879469799,1,-0.0379982879469799,"%Air","sec",0.07193,0.0019722,NA,37,30.099,1.019,-0.607725256124673,-308.145855453135,NA,"mgO2/hr/kg",308.145855453135,0.607725256124673,30.099,135
"9",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",10,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,436.071339104936,-0.0408799399332667,0.977,3661,3781,8207.54,3200,53.3333333333333,8327.54,100.62,95.926,-0.04032188587777,1,-0.04032188587777,"%Air","sec",0.07193,0.0019722,NA,37,30.171,1.019,-0.644157592692727,-326.618797633469,NA,"mgO2/hr/kg",326.618797633469,0.644157592692727,30.171,135
"10",2023-07-10,"101.LSBI.248.30.2","101","LSBI","248","30","2","DELL","ch2",11,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,429.952916545888,-0.0382844047484322,0.991,4061,4181,8607.54,3600,60,8727.56,100.45,95.997,-0.0376664808235659,1,-0.0376664808235659,"%Air","sec",0.07193,0.0019722,NA,37,30.299,1.019,-0.600527525239633,-304.496260642751,NA,"mgO2/hr/kg",304.496260642751,0.600527525239633,30.299,135
