"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",1,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,261.678076505776,-0.0367775513053857,0.961,46,135,4456.93,0,0,4576.66,97.761,93.394,-0.0365197186708131,1,-0.0365197186708131,"%Air","sec",0.05,0.0010624,NA,36,30.076,1.019,-0.408386399649844,-384.399849068001,NA,"mgO2/hr/kg",384.399849068001,0.408386399649844,30.226,108
"2",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",2,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,196.924496336004,-0.0203168560293003,0.956,344,433,4857.46,400.53,6.6755,4976.99,98.063,95.637,-0.0200162388967748,1,-0.0200162388967748,"%Air","sec",0.05,0.0010624,NA,36,30.07,1.019,-0.223855339099249,-210.707209242516,NA,"mgO2/hr/kg",210.707209242516,0.223855339099249,30.22,108
"3",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",3,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,216.164221735742,-0.0224110263605033,0.984,641,730,5256.39,799.46,13.3243333333333,5375.88,98.262,95.665,-0.0220677871365302,1,-0.0220677871365302,"%Air","sec",0.05,0.0010624,NA,36,30.103,1.019,-0.246670702766585,-232.18251389927,NA,"mgO2/hr/kg",232.18251389927,0.246670702766585,30.253,108
"4",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",4,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,175.631301755224,-0.0137200228632251,0.923,939,1028,5656.32,1199.39,19.9898333333333,5775.99,97.776,96.245,-0.013334042948317,1,-0.013334042948317,"%Air","sec",0.05,0.0010624,NA,36,30.08,1.019,-0.149100217147865,-140.342824875626,NA,"mgO2/hr/kg",140.342824875626,0.149100217147865,30.23,108
"5",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",6,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,248.04141800732,-0.0231237049883705,0.921,1536,1625,6457.69,2000.76,33.346,6577.3,98.319,95.565,-0.0226521047912919,1,-0.0226521047912919,"%Air","sec",0.05,0.0010624,NA,36,30.098,1.019,-0.253222103852344,-238.34911883692,NA,"mgO2/hr/kg",238.34911883692,0.253222103852344,30.248,108
"6",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",7,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,239.871292175268,-0.020543697581177,0.93,1833,1922,6856.49,2399.56,39.9926666666667,6975.9,98.6,96.481,-0.0200294977303916,1,-0.0200294977303916,"%Air","sec",0.05,0.0010624,NA,36,30.245,1.019,-0.223386364878646,-210.265780194509,NA,"mgO2/hr/kg",210.265780194509,0.223386364878646,30.395,108
"7",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",8,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,231.940033564886,-0.0183764500962574,0.973,2131,2220,7256.51,2799.58,46.6596666666667,7376.11,98.439,96.111,-0.0178194994041305,1,-0.0178194994041305,"%Air","sec",0.05,0.0010624,NA,36,30.353,1.019,-0.19840103580826,-186.747962921931,NA,"mgO2/hr/kg",186.747962921931,0.19840103580826,30.503,108
"8",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",9,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,201.533659555434,-0.0134720428817571,0.951,2429,2518,7656.38,3199.45,53.3241666666667,7775.82,98.513,96.464,-0.0128723760733637,1,-0.0128723760733637,"%Air","sec",0.05,0.0010624,NA,36,30.47,1.019,-0.143056856218909,-134.654420386774,NA,"mgO2/hr/kg",134.654420386774,0.143056856218909,30.62,108
"9",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",10,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,241.422932828125,-0.0177231398103126,0.948,2727,2816,8056.28,3599.35,59.9891666666667,8175.8,98.515,96.766,-0.0170807408586951,1,-0.0170807408586951,"%Air","sec",0.05,0.0010624,NA,36,30.537,1.019,-0.18962691214502,-178.489186883491,NA,"mgO2/hr/kg",178.489186883491,0.18962691214502,30.687,108
"10",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",11,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,231.817278639798,-0.0157563404425616,0.952,3025,3114,8456.28,3999.35,66.6558333333333,8575.78,98.244,96.594,-0.0150712040054007,1,-0.0150712040054007,"%Air","sec",0.05,0.0010624,NA,36,30.648,1.019,-0.167026549111533,-157.216254811308,NA,"mgO2/hr/kg",157.216254811308,0.167026549111533,30.798,108
"11",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",12,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,250.875671099184,-0.0172122961009188,0.963,3324,3413,8857.62,4400.69,73.3448333333333,8977.08,98.086,96.266,-0.0164842800725224,1,-0.0164842800725224,"%Air","sec",0.05,0.0010624,NA,36,30.781,1.019,-0.182307071278027,-171.599276428866,NA,"mgO2/hr/kg",171.599276428866,0.182307071278027,30.931,108
"12",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",13,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,238.224881539691,-0.0150817055155479,0.951,3621,3710,9256.43,4799.5,79.9916666666667,9375.9,98.488,96.645,-0.0143110775461104,1,-0.0143110775461104,"%Air","sec",0.05,0.0010624,NA,36,30.829,1.019,-0.158153929469844,-148.864767949778,NA,"mgO2/hr/kg",148.864767949778,0.158153929469844,30.979,108
"13",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",14,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,302.619462091218,-0.0211095214646194,0.916,3919,4008,9656.59,5199.66,86.661,9776.14,98.282,96.03,-0.0202961335718976,1,-0.0202961335718976,"%Air","sec",0.05,0.0010624,NA,36,30.993,1.019,-0.223722207084427,-210.581896728565,NA,"mgO2/hr/kg",210.581896728565,0.223722207084427,31.143,108
"14",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",15,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,269.649767202178,-0.0169834325258443,0.98,4217,4306,10056.78,5599.85,93.3308333333333,10176.25,98.619,96.847,-0.0161272900521575,1,-0.0161272900521575,"%Air","sec",0.05,0.0010624,NA,36,31.099,1.019,-0.177476068160994,-167.052021988887,NA,"mgO2/hr/kg",167.052021988887,0.177476068160994,31.249,108
"15",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",16,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,284.779441780223,-0.0177811632544097,0.962,4515,4604,10456.65,5999.72,99.9953333333333,10576.14,98.53,96.647,-0.0168822950482819,1,-0.0168822950482819,"%Air","sec",0.05,0.0010624,NA,36,31.21,1.019,-0.185464044673596,-174.570825182225,NA,"mgO2/hr/kg",174.570825182225,0.185464044673596,31.36,108
"16",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",17,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,339.860164872859,-0.0222104017358342,0.978,4813,4902,10856.63,6399.7,106.661666666667,10976.21,98.438,95.93,-0.0212687923045394,1,-0.0212687923045394,"%Air","sec",0.05,0.0010624,NA,36,31.274,1.019,-0.233420521755637,-219.710581471797,NA,"mgO2/hr/kg",219.710581471797,0.233420521755637,31.424,108
"17",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",18,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,224.399198828271,-0.0112334912470672,0.921,5111,5200,11256.89,6799.96,113.332666666667,11376.32,98.211,96.429,-0.0102491234951839,1,-0.0102491234951839,"%Air","sec",0.05,0.0010624,NA,36,31.382,1.019,-0.112293515868719,-105.697962978839,NA,"mgO2/hr/kg",105.697962978839,0.112293515868719,31.532,108
"18",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",19,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,284.004915939578,-0.0158907389777545,0.957,5409,5498,11656.44,7199.51,119.991833333333,11775.7,98.654,96.472,-0.0148636898346799,1,-0.0148636898346799,"%Air","sec",0.05,0.0010624,NA,36,31.53,1.019,-0.162479379672794,-152.936163095627,NA,"mgO2/hr/kg",152.936163095627,0.162479379672794,31.68,108
"19",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",20,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,336.122351549388,-0.0196718977047208,0.979,5708,5797,12057.15,7600.22,126.670333333333,12176.67,98.883,96.395,-0.0186020202566755,1,-0.0186020202566755,"%Air","sec",0.05,0.0010624,NA,36,31.593,1.019,-0.203145958736164,-191.214193087504,NA,"mgO2/hr/kg",191.214193087504,0.203145958736164,31.743,108
"20",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",21,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,294.615165733019,-0.01574594744479,0.943,6006,6095,12457.1,8000.17,133.336166666667,12576.44,98.592,96.75,-0.0146333464012313,1,-0.0146333464012313,"%Air","sec",0.05,0.0010624,NA,36,31.719,1.019,-0.159494480284194,-150.126581592803,NA,"mgO2/hr/kg",150.126581592803,0.159494480284194,31.869,108
"21",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",22,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,297.281001709948,-0.0154290066848678,0.939,6304,6393,12856.72,8399.79,139.9965,12976.08,98.542,96.885,-0.0142737066204643,1,-0.0142737066204643,"%Air","sec",0.05,0.0010624,NA,36,31.869,1.019,-0.155214862175881,-146.098326596273,NA,"mgO2/hr/kg",146.098326596273,0.155214862175881,32.019,108
"22",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",23,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,409.963618794549,-0.0235176184130642,0.986,6602,6691,13256.79,8799.86,146.664333333333,13376.1,98.052,95.382,-0.022319574986566,1,-0.022319574986566,"%Air","sec",0.05,0.0010624,NA,36,31.921,1.019,-0.24251261781945,-228.268653821018,NA,"mgO2/hr/kg",228.268653821018,0.24251261781945,32.071,108
"23",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",24,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,368.28663880607,-0.0197950734825084,0.963,6900,6989,13656.96,9200.03,153.333833333333,13776.06,98.283,95.924,-0.018554284556988,1,-0.018554284556988,"%Air","sec",0.05,0.0010624,NA,36,32.021,1.019,-0.201290747297993,-189.467947381394,NA,"mgO2/hr/kg",189.467947381394,0.201290747297993,32.171,108
"24",2023-07-07,"120.CPRE.336.28,5.1","120","CPRE","336","28","5","ASUS","ch4",25,"CPRE550","CPRE533","core","Pretty Patches",96.02,45.56,99.44,47.85,-16.622,146.042,-16.622,146.042,1,114,365,2023-03-21,10,0.91808,395.564893221508,-0.0211488170554019,0.958,7199,7288,14057.16,9600.23,160.003833333333,14176.39,98.525,96.209,-0.0198652612615822,1,-0.0198652612615822,"%Air","sec",0.05,0.0010624,NA,36,32.147,1.019,-0.215096011316746,-202.462360049648,NA,"mgO2/hr/kg",202.462360049648,0.215096011316746,32.297,108
