"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",1,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,352.038875475046,-0.0930500664275106,0.995,45,133,2765.25,0,0,2884.69,94.856,83.835,-0.0928261303147615,1,-0.0928261303147615,"%Air","sec",0.05,0.0017416,NA,36,30.186,1.019,-1.03624049004558,-594.993391160757,NA,"mgO2/hr/kg",594.993391160757,1.03624049004558,30.186,134
"2",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",2,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,319.464989357439,-0.0704346883782619,0.992,340,429,3164.61,399.36,6.656,3285.22,96.717,87.706,-0.0701033597590516,1,-0.0701033597590516,"%Air","sec",0.05,0.0017416,NA,36,30.181,1.019,-0.782642398502493,-449.381257752924,NA,"mgO2/hr/kg",449.381257752924,0.782642398502493,30.181,134
"3",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",3,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,380.978769221241,-0.0796426902368849,0.988,635,724,3564.17,798.92,13.3153333333333,3684.27,96.806,88.171,-0.0792041409628533,1,-0.0792041409628533,"%Air","sec",0.05,0.0017416,NA,36,30.219,1.019,-0.883715264440746,-507.415746693125,NA,"mgO2/hr/kg",507.415746693125,0.883715264440746,30.219,134
"4",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",4,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,295.45582730813,-0.0496221774345895,0.973,931,1020,3964.21,1198.96,19.9826666666667,4084.68,98.442,92.472,-0.0490761604690043,1,-0.0490761604690043,"%Air","sec",0.05,0.0017416,NA,36,30.202,1.019,-0.547710891723147,-314.487190929689,NA,"mgO2/hr/kg",314.487190929689,0.547710891723147,30.202,134
"5",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",5,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,315.454522776435,-0.0495623550478047,0.979,1227,1316,4364.72,1599.47,26.6578333333333,4485.2,98.661,92.873,-0.0489087925203914,1,-0.0489087925203914,"%Air","sec",0.05,0.0017416,NA,36,30.199,1.019,-0.545868799928836,-313.429490083163,NA,"mgO2/hr/kg",313.429490083163,0.545868799928836,30.199,134
"6",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",6,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,283.297753017313,-0.0389589940893078,0.971,1522,1611,4764.62,1999.37,33.3228333333333,4885.1,97.908,93.246,-0.0381980511387519,1,-0.0381980511387519,"%Air","sec",0.05,0.0017416,NA,36,30.207,1.019,-0.426272962844883,-244.75939529449,NA,"mgO2/hr/kg",244.75939529449,0.426272962844883,30.207,134
"7",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",7,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,345.130720136125,-0.0477824084670488,0.981,1818,1907,5165.04,2399.79,39.9965,5285.39,98.583,92.647,-0.0469139629175748,1,-0.0469139629175748,"%Air","sec",0.05,0.0017416,NA,36,30.293,1.019,-0.52283002058534,-300.200976450011,NA,"mgO2/hr/kg",300.200976450011,0.52283002058534,30.293,134
"8",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",8,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,283.643692892126,-0.0333007509883476,0.958,2114,2203,5565.36,2800.11,46.6685,5685.57,98.595,94.002,-0.0323248310343653,1,-0.0323248310343653,"%Air","sec",0.05,0.0017416,NA,36,30.398,1.019,-0.359647830302618,-206.504266365766,NA,"mgO2/hr/kg",206.504266365766,0.359647830302618,30.398,134
"9",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",9,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,355.039266435096,-0.0429291875111593,0.966,2409,2498,5964.3,3199.05,53.3175,6084.56,98.875,94.545,-0.0418461381985394,1,-0.0418461381985394,"%Air","sec",0.05,0.0017416,NA,36,30.499,1.019,-0.464844419421029,-266.906533888969,NA,"mgO2/hr/kg",266.906533888969,0.464844419421029,30.499,134
"10",2023-06-10,"65.LSBI.341.28,5.1","65","LSBI","341","28","5","ASUS","ch4",10,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,2,60,321,2023-01-27,10,0.90032,349.91158307732,-0.0394407841226745,0.98,2706,2794,6365.87,3600.62,60.0103333333333,6484.89,99.049,94.484,-0.0382500724428151,1,-0.0382500724428151,"%Air","sec",0.05,0.0017416,NA,36,30.61,1.019,-0.424158728083965,-243.545434131813,NA,"mgO2/hr/kg",243.545434131813,0.424158728083965,30.61,134
