"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",1,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,248.997618891966,-0.0525331077068569,0.955,61,181,2871.3,0,0,2991.44,97.714,91.335,-0.0524990443598079,1,-0.0524990443598079,"%Air","sec",0.05,0.0014177,NA,37,30.32,1.019,-0.581629012594401,-410.262405723638,NA,"mgO2/hr/kg",410.262405723638,0.581629012594401,30.32,115
"2",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",2,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,263.884938254658,-0.0513719910966159,0.996,461,582,3271.17,399.87,6.6645,3391.15,96.092,89.797,-0.051230163363109,1,-0.051230163363109,"%Air","sec",0.05,0.0014177,NA,37,30.317,1.019,-0.567597994555172,-400.365376705348,NA,"mgO2/hr/kg",400.365376705348,0.567597994555172,30.317,115
"3",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",3,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,212.668431365152,-0.0315327942241412,0.972,862,982,3671.16,799.86,13.331,3791.16,96.738,92.787,-0.0312831454981554,1,-0.0312831454981554,"%Air","sec",0.05,0.0014177,NA,37,30.3,1.019,-0.346690078308655,-244.544034921814,NA,"mgO2/hr/kg",244.544034921814,0.346690078308655,30.3,115
"4",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",4,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,199.686834092649,-0.0248557189498872,0.962,1262,1382,4071.16,1199.86,19.9976666666667,4191.17,98.038,95.407,-0.02449824788366,1,-0.02449824788366,"%Air","sec",0.05,0.0014177,NA,37,30.326,1.019,-0.271386846819436,-191.427556478406,NA,"mgO2/hr/kg",191.427556478406,0.271386846819436,30.326,115
"5",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",5,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,233.016136076798,-0.0300292522637988,0.941,1662,1782,4471.16,1599.86,26.6643333333333,4591.16,98.505,94.794,-0.029563961552855,1,-0.029563961552855,"%Air","sec",0.05,0.0014177,NA,37,30.313,1.019,-0.327570667374827,-231.057817150897,NA,"mgO2/hr/kg",231.057817150897,0.327570667374827,30.313,115
"6",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",6,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,299.890986721583,-0.0413336147729002,0.98,2062,2182,4871.21,1999.91,33.3318333333333,4991.16,98.366,93.38,-0.0407604963306653,1,-0.0407604963306653,"%Air","sec",0.05,0.0014177,NA,37,30.413,1.019,-0.450921195781171,-318.065314087022,NA,"mgO2/hr/kg",318.065314087022,0.450921195781171,30.413,115
"7",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",7,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,194.64330148941,-0.0182809332621534,0.928,2462,2582,5271.16,2399.86,39.9976666666667,5391.15,98.132,95.824,-0.017600001914014,1,-0.017600001914014,"%Air","sec",0.05,0.0014177,NA,37,30.484,1.019,-0.194487103517623,-137.184949931314,NA,"mgO2/hr/kg",137.184949931314,0.194487103517623,30.484,115
"8",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",9,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,244.910475682329,-0.0239546540704527,0.941,3262,3382,6071.16,3199.86,53.331,6191.16,99.449,96.521,-0.0230580793895929,1,-0.0230580793895929,"%Air","sec",0.05,0.0014177,NA,37,30.725,1.019,-0.25384278592449,-179.052539976363,NA,"mgO2/hr/kg",179.052539976363,0.25384278592449,30.725,115
"9",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",11,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,248.646650455163,-0.0217592851230392,0.948,4062,4182,6871.15,3999.85,66.6641666666667,6991.16,98.652,96.351,-0.0206470698049838,1,-0.0206470698049838,"%Air","sec",0.05,0.0014177,NA,37,30.922,1.019,-0.226603361864386,-159.838726010006,NA,"mgO2/hr/kg",159.838726010006,0.226603361864386,30.922,115
"10",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",12,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,382.383637303894,-0.0388720107977142,0.961,4462,4582,7271.16,4399.86,73.331,7391.15,99.068,94.718,-0.0376519744871798,1,-0.0376519744871798,"%Air","sec",0.05,0.0014177,NA,37,31.023,1.019,-0.41258477834785,-291.024037770932,NA,"mgO2/hr/kg",291.024037770932,0.41258477834785,31.023,115
"11",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",13,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,344.965604714131,-0.0321420514660581,0.965,4862,4982,7671.16,4799.86,79.9976666666667,7791.16,98.364,94.319,-0.0308141928152824,1,-0.0308141928152824,"%Air","sec",0.05,0.0014177,NA,37,31.171,1.019,-0.336881993493487,-237.625727229659,NA,"mgO2/hr/kg",237.625727229659,0.336881993493487,31.171,115
"12",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",14,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,554.423952105381,-0.0566198555479599,0.99,5262,5382,8071.16,5199.86,86.6643333333333,8191.16,97.118,90.544,-0.0551841759047052,1,-0.0551841759047052,"%Air","sec",0.05,0.0014177,NA,37,31.277,1.019,-0.602320494661558,-424.857511928869,NA,"mgO2/hr/kg",424.857511928869,0.602320494661558,31.277,115
"13",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",15,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,588.537788215383,-0.0580941709538382,0.98,5662,5782,8471.16,5599.86,93.331,8591.16,96.291,89.762,-0.0565506703181044,1,-0.0565506703181044,"%Air","sec",0.05,0.0014177,NA,37,31.343,1.019,-0.616604673694204,-434.93311257262,NA,"mgO2/hr/kg",434.93311257262,0.616604673694204,31.343,115
"14",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",16,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,339.848110803411,-0.0271325882566391,0.97,6062,6182,8871.15,5999.85,99.9975,8991.16,99.312,96.155,-0.0254812679761887,1,-0.0254812679761887,"%Air","sec",0.05,0.0014177,NA,37,31.452,1.019,-0.277368797046816,-195.647031845112,NA,"mgO2/hr/kg",195.647031845112,0.277368797046816,31.452,115
"15",2023-06-11,"87.150.CRUS.30.1","87","150","CRUS","30","1","DELL","ch2",17,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,418.046805872305,-0.0343631788058148,0.99,6462,6582,9271.16,6399.86,106.664333333333,9391.15,99.356,95.3,-0.0326040375328855,1,-0.0326040375328855,"%Air","sec",0.05,0.0014177,NA,37,31.588,1.019,-0.35415669599219,-249.810746979043,NA,"mgO2/hr/kg",249.810746979043,0.35415669599219,31.588,115
