"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",2,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,183.105314509933,-0.0357911014228182,0.991,338,426,2395.4,0,0,2515.35,97.073,92.683,-0.0355128430190489,1,-0.0355128430190489,"%Air","sec",0.07073,0.0019504,NA,36,30.058,1.019,-0.561935351934428,-288.112875274009,NA,"mgO2/hr/kg",288.112875274009,0.561935351934428,30.258,119
"2",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",3,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,228.787883279421,-0.0472725292857047,0.964,631,719,2795.59,400.19,6.66983333333333,2915.36,97.301,90.874,-0.0468875679349143,1,-0.0468875679349143,"%Air","sec",0.07073,0.0019504,NA,36,30.038,1.019,-0.742156985670173,-380.515271570023,NA,"mgO2/hr/kg",380.515271570023,0.742156985670173,30.238,119
"3",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",4,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,290.420233021367,-0.0605547195776107,0.992,925,1012,3196.6,801.2,13.3533333333333,3315.38,96.8,89.549,-0.0600629446031608,1,-0.0600629446031608,"%Air","sec",0.07073,0.0019504,NA,36,30.079,1.019,-0.950087392131738,-487.124380707413,NA,"mgO2/hr/kg",487.124380707413,0.950087392131738,30.279,119
"4",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",5,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,367.881309966236,-0.0753659744751788,0.993,1217,1305,3595.51,1200.11,20.0018333333333,3716.1,97.225,87.899,-0.074767572560556,1,-0.074767572560556,"%Air","sec",0.07073,0.0019504,NA,36,30.062,1.019,-1.18300550771247,-606.545071632724,NA,"mgO2/hr/kg",606.545071632724,1.18300550771247,30.262,119
"5",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",6,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,386.963867600072,-0.0728715372156609,0.993,1509,1597,3995.39,1599.99,26.6665,4115.17,95.706,86.634,-0.0721665990357012,1,-0.0721665990357012,"%Air","sec",0.07073,0.0019504,NA,36,30.09,1.019,-1.14134718838754,-585.186212257765,NA,"mgO2/hr/kg",585.186212257765,1.14134718838754,30.29,119
"6",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",7,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,348.406622512682,-0.0572750804708331,0.986,1803,1891,4395.54,2000.14,33.3356666666667,4515.39,96.135,89.724,-0.0564634166751433,1,-0.0564634166751433,"%Air","sec",0.07073,0.0019504,NA,36,30.08,1.019,-0.893135258408616,-457.924148076608,NA,"mgO2/hr/kg",457.924148076608,0.893135258408616,30.28,119
"7",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",8,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,375.390717700764,-0.0579903692776136,0.992,2097,2186,4795.53,2400.13,40.0021666666667,4916.45,97.401,90.193,-0.0570718891913575,1,-0.0570718891913575,"%Air","sec",0.07073,0.0019504,NA,36,30.137,1.019,-0.901948502948795,-462.442833751433,NA,"mgO2/hr/kg",462.442833751433,0.901948502948795,30.337,119
"8",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",9,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,366.468169692138,-0.0518939380908314,0.989,2391,2479,5195.74,2800.34,46.6723333333333,5315.3,96.98,90.759,-0.0508689070712503,1,-0.0508689070712503,"%Air","sec",0.07073,0.0019504,NA,36,30.207,1.019,-0.803031612691796,-411.726626687754,NA,"mgO2/hr/kg",411.726626687754,0.803031612691796,30.407,119
"9",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",10,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,365.401404917884,-0.0479891184733085,0.989,2685,2774,5595.16,3199.76,53.3293333333333,5715.99,96.854,91.364,-0.0468573965077876,1,-0.0468573965077876,"%Air","sec",0.07073,0.0019504,NA,36,30.329,1.019,-0.738285244922178,-378.530170694308,NA,"mgO2/hr/kg",378.530170694308,0.738285244922178,30.529,119
"10",2023-06-09,"89.LCKM.132.30.1","89","LCKM","132","30","1","ASUS","ch2",11,"LCKM159","LCKM155","leading","Cockermouth Island",87.56,30.55,86.58,30.34,-20.772,149.398,-20.772,149.398,3,84,NA,2023-02-10,NA,NA,402.684600821803,-0.0510277103926821,0.989,2980,3069,5995.4,3600,60,6116.1,96.905,90.557,-0.049789265478338,1,-0.049789265478338,"%Air","sec",0.07073,0.0019504,NA,36,30.422,1.019,-0.783333609410117,-401.627158229141,NA,"mgO2/hr/kg",401.627158229141,0.783333609410117,30.622,119
