"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",2,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,237.350116024891,-0.0316856191109919,0.993,461,581,4433.47,0,0,4553.48,96.844,93.032,-0.0315735907880903,1,-0.0315735907880903,"%Air","sec",0.05,0.0009602,NA,35,30.248,1.019,-0.354054807814885,-368.730272667033,NA,"mgO2/hr/kg",368.730272667033,0.354054807814885,30.248,136
"2",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",3,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,203.721877049196,-0.0219974399089074,0.976,861,981,4833.47,400,6.66666666666667,4953.48,97.355,94.718,-0.0218002958081233,1,-0.0218002958081233,"%Air","sec",0.05,0.0009602,NA,35,30.245,1.019,-0.244472198036723,-254.605496809751,NA,"mgO2/hr/kg",254.605496809751,0.244472198036723,30.245,136
"3",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",4,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,223.487671342874,-0.0241265048530902,0.979,1261,1381,5233.47,800,13.3333333333333,5353.48,96.998,94.027,-0.0238442449744237,1,-0.0238442449744237,"%Air","sec",0.05,0.0009602,NA,35,30.266,1.019,-0.267304758424067,-278.384459929252,NA,"mgO2/hr/kg",278.384459929252,0.267304758424067,30.266,136
"4",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",5,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,253.585167997742,-0.0276225184026331,0.961,1661,1781,5633.47,1200,20,5753.48,97.613,94.334,-0.0272551427460842,1,-0.0272551427460842,"%Air","sec",0.05,0.0009602,NA,35,30.256,1.019,-0.305590698141731,-318.257340285077,NA,"mgO2/hr/kg",318.257340285077,0.305590698141731,30.256,136
"5",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",6,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,261.078096616087,-0.0270046799018603,0.997,2061,2181,6033.47,1600,26.6666666666667,6153.48,98.162,94.919,-0.026552188467429,1,-0.026552188467429,"%Air","sec",0.05,0.0009602,NA,35,30.254,1.019,-0.297718418830818,-310.058757374315,NA,"mgO2/hr/kg",310.058757374315,0.297718418830818,30.254,136
"6",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",7,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,262.005118205959,-0.0254586434156512,0.997,2461,2581,6433.48,2000.01,33.3335,6553.47,98.233,95.049,-0.0249210362033375,1,-0.0249210362033375,"%Air","sec",0.05,0.0009602,NA,35,30.293,1.019,-0.279257058155917,-290.832178875148,NA,"mgO2/hr/kg",290.832178875148,0.279257058155917,30.293,136
"7",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",8,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,252.216585273896,-0.0225275820927523,0.989,2861,2981,6833.48,2400.01,40.0001666666667,6953.47,98.184,95.73,-0.0219048591025561,1,-0.0219048591025561,"%Air","sec",0.05,0.0009602,NA,35,30.348,1.019,-0.245245910915422,-255.411279853595,NA,"mgO2/hr/kg",255.411279853595,0.245245910915422,30.348,136
"8",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",9,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,261.922686308416,-0.022599762621968,0.991,3261,3381,7233.48,2800.01,46.6668333333333,7353.47,98.475,95.901,-0.0218919238538893,1,-0.0218919238538893,"%Air","sec",0.05,0.0009602,NA,35,30.455,1.019,-0.244688229700064,-254.830482920292,NA,"mgO2/hr/kg",254.830482920292,0.244688229700064,30.455,136
"9",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",10,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,203.765105266476,-0.0136387892776734,0.966,3661,3781,7633.48,3200.01,53.3335,7753.47,99.601,98.06,-0.0128458347317123,1,-0.0128458347317123,"%Air","sec",0.05,0.0009602,NA,35,30.561,1.019,-0.143339930411748,-149.28132723573,NA,"mgO2/hr/kg",149.28132723573,0.143339930411748,30.561,136
"10",2023-07-06,"90.CSAT.252.30.1","90","CSAT","252","30","1","DELL","ch4",11,"CSAT265","CSAT264","core","Satellite Reef",102.28,48.84,104.1,54.34,-16.443,145.684,-16.443,145.684,1,84,492,2023-02-20,10,0.55,298.19058120017,-0.0247645974644615,0.947,4061,4181,8033.47,3600,60,8153.48,99.651,96.544,-0.023886527140618,1,-0.023886527140618,"%Air","sec",0.05,0.0009602,NA,35,30.668,1.019,-0.266089525337557,-277.11885579833,NA,"mgO2/hr/kg",277.11885579833,0.266089525337557,30.668,136
