"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",1,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,387.298648109851,-0.0626299696461766,0.982,61,181,4607.54,0,0,4727.54,98.383,90.7,-0.0626182023221425,1,-0.0626182023221425,"%Air","sec",0.0716,0.0022131,NA,37,30.096,1.019,-0.996936099220423,-450.470425746881,NA,"mgO2/hr/kg",450.470425746881,0.996936099220423,30.096,137
"2",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",2,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,566.298293365917,-0.0938698859502275,1,461,581,5007.54,400,6.66666666666667,5127.54,96.352,85.037,-0.0938215002224778,1,-0.0938215002224778,"%Air","sec",0.0716,0.0022131,NA,37,30.134,1.019,-1.49282666268954,-674.540988970014,NA,"mgO2/hr/kg",674.540988970014,1.49282666268954,30.134,137
"3",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",3,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,549.669795664018,-0.0840913474099004,0.999,861,981,5407.54,800,13.3333333333333,5527.54,94.961,84.889,-0.0840063432784351,1,-0.0840063432784351,"%Air","sec",0.0716,0.0022131,NA,37,30.136,1.019,-1.3366122132463,-603.954730128009,NA,"mgO2/hr/kg",603.954730128009,1.3366122132463,30.136,137
"4",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",4,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,467.973839233034,-0.064216413765073,0.956,1261,1381,5807.54,1200,20,5927.54,95.3,87.364,-0.064094791229892,1,-0.064094791229892,"%Air","sec",0.0716,0.0022131,NA,37,30.068,1.019,-1.02089462998033,-461.296204410251,NA,"mgO2/hr/kg",461.296204410251,1.02089462998033,30.068,137
"5",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",5,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,269.774187508021,-0.0275393784094733,0.956,1661,1781,6207.54,1600,26.6666666666667,6327.54,99.108,95.322,-0.0273811374705768,1,-0.0273811374705768,"%Air","sec",0.0716,0.0022131,NA,37,30.081,1.019,-0.436034415458384,-197.024271591155,NA,"mgO2/hr/kg",197.024271591155,0.436034415458384,30.081,137
"6",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",6,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,346.067902876726,-0.0371580903475079,0.98,2061,2181,6607.54,2000,33.3333333333333,6727.54,100.18,95.911,-0.0369632310048957,1,-0.0369632310048957,"%Air","sec",0.0716,0.0022131,NA,37,30.101,1.019,-0.588440386790058,-265.889651073182,NA,"mgO2/hr/kg",265.889651073182,0.588440386790058,30.101,137
"7",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",7,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,296.079893967629,-0.0278977479326663,0.96,2461,2581,7007.54,2400,40,7127.54,100.27,96.767,-0.0276662701863384,1,-0.0276662701863384,"%Air","sec",0.0716,0.0022131,NA,37,30.083,1.019,-0.440561174815872,-199.069709825978,NA,"mgO2/hr/kg",199.069709825978,0.440561174815872,30.083,137
"8",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",8,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,401.263449525536,-0.0405861488230562,0.987,2861,2981,7407.54,2800,46.6666666666667,7527.55,100.31,95.624,-0.0403180522152826,1,-0.0403180522152826,"%Air","sec",0.0716,0.0022131,NA,37,30.076,1.019,-0.642100511852663,-290.136239597245,NA,"mgO2/hr/kg",290.136239597245,0.642100511852663,30.076,137
"9",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",9,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,375.981425451085,-0.0352613696139422,0.989,3261,3381,7807.54,3200,53.3333333333333,7927.54,100.33,96.097,-0.0349566550601831,1,-0.0349566550601831,"%Air","sec",0.0716,0.0022131,NA,37,30.199,1.019,-0.555639274549829,-251.068308955686,NA,"mgO2/hr/kg",251.068308955686,0.555639274549829,30.199,137
"10",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",10,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,487.519702794579,-0.0473047982582247,0.987,3661,3781,8207.54,3600,60,8327.54,99.166,92.901,-0.0469634653007499,1,-0.0469634653007499,"%Air","sec",0.0716,0.0022131,NA,37,30.271,1.019,-0.745644642230538,-336.923158569671,NA,"mgO2/hr/kg",336.923158569671,0.745644642230538,30.271,137
"11",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",11,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,407.59633236812,-0.0358029905159902,0.988,4061,4181,8607.54,4000,66.6666666666667,8727.56,99.527,95.24,-0.0354250382393396,1,-0.0354250382393396,"%Air","sec",0.0716,0.0022131,NA,37,30.399,1.019,-0.561319130564422,-253.634779523936,NA,"mgO2/hr/kg",253.634779523936,0.561319130564422,30.399,137
"12",2023-07-10,"99.CARL.234.30.1","99","CARL","234","30","1","DELL","ch4",12,"CARL335","CARL359","core","Arlington Reef",93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,2023-02-23,9,0.44786,412.875720671485,-0.0346924235324791,0.991,4461,4581,9007.54,4400,73.3333333333333,9127.54,100.08,95.893,-0.034277853767573,1,-0.034277853767573,"%Air","sec",0.0716,0.0022131,NA,37,30.491,1.019,-0.542359346746099,-245.067708981112,NA,"mgO2/hr/kg",245.067708981112,0.542359346746099,30.491,137
