"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",1,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,592.394603668192,-0.169403539725809,0.976,45,134,2958.84,0,0,3079.46,89.048,68.676,-0.169228956747217,1,-0.169228956747217,"%Air","sec",0.07073,0.0046508,NA,37,30.047,1.019,-2.66358851840708,-572.716203321381,NA,"mgO2/hr/kg",572.716203321381,2.66358851840708,30.147,138
"2",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",2,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,634.778289605479,-0.162051840490018,0.997,341,430,3359.56,400.72,6.67866666666666,3479.97,89.745,71.141,-0.16179752136599,1,-0.16179752136599,"%Air","sec",0.07073,0.0046508,NA,37,30.04,1.019,-2.546901856795,-547.626614086825,NA,"mgO2/hr/kg",547.626614086825,2.546901856795,30.14,138
"3",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",3,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,650.313600719787,-0.148412238126593,0.99,636,725,3759,800.16,13.336,3879.38,93.861,75.288,-0.148078419708005,1,-0.148078419708005,"%Air","sec",0.07073,0.0046508,NA,37,30.032,1.019,-2.33123928165116,-501.255543487392,NA,"mgO2/hr/kg",501.255543487392,2.33123928165116,30.132,138
"4",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",4,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,596.282303030563,-0.121444473831119,0.998,932,1021,4159.35,1200.51,20.0085,4279.38,91.229,76.451,-0.121031006842208,1,-0.121031006842208,"%Air","sec",0.07073,0.0046508,NA,37,30.048,1.019,-1.90494421547752,-409.594954734137,NA,"mgO2/hr/kg",409.594954734137,1.90494421547752,30.148,138
"5",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",5,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,677.775027462265,-0.12836288558018,0.995,1229,1318,4559.76,1600.92,26.682,4679.78,91.91,76.323,-0.127869724243048,1,-0.127869724243048,"%Air","sec",0.07073,0.0046508,NA,37,30.131,1.019,-2.00995286767602,-432.17357608928,NA,"mgO2/hr/kg",432.17357608928,2.00995286767602,30.231,138
"6",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",6,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,684.627738309632,-0.119665579314058,0.998,1525,1614,4959.26,2000.42,33.3403333333333,5079.61,91.078,77.118,-0.119092870914121,1,-0.119092870914121,"%Air","sec",0.07073,0.0046508,NA,37,30.114,1.019,-1.87249250013408,-402.617291677579,NA,"mgO2/hr/kg",402.617291677579,1.87249250013408,30.214,138
"7",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",7,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,751.821254740763,-0.122933326748544,0.998,1822,1910,5360.08,2401.24,40.0206666666667,5478.86,92.797,78.318,-0.122280997643093,1,-0.122280997643093,"%Air","sec",0.07073,0.0046508,NA,37,30.145,1.019,-1.92168173763424,-413.193802707973,NA,"mgO2/hr/kg",413.193802707973,1.92168173763424,30.245,138
"8",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",8,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,779.124343617046,-0.119062238961035,0.998,2118,2206,5759.41,2800.57,46.6761666666667,5878.41,93.213,78.998,-0.118330407575508,1,-0.118330407575508,"%Air","sec",0.07073,0.0046508,NA,37,30.203,1.019,-1.85790180130438,-399.480046724086,NA,"mgO2/hr/kg",399.480046724086,1.85790180130438,30.303,138
"9",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",9,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,719.939426765092,-0.101764124247942,0.997,2414,2503,6159.54,3200.7,53.345,6279.64,93.704,81.013,-0.100952543779748,1,-0.100952543779748,"%Air","sec",0.07073,0.0046508,NA,37,30.298,1.019,-1.58268889225794,-340.304655598594,NA,"mgO2/hr/kg",340.304655598594,1.58268889225794,30.398,138
"10",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",10,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,887.305138578149,-0.120963221686449,0.997,2711,2800,6559.88,3601.04,60.0173333333333,6680.01,93.974,79.187,-0.120071956821749,1,-0.120071956821749,"%Air","sec",0.07073,0.0046508,NA,37,30.365,1.019,-1.88045647688051,-404.329680244369,NA,"mgO2/hr/kg",404.329680244369,1.88045647688051,30.465,138
"11",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",11,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,809.691327355622,-0.102854551885091,0.988,3007,3096,6959.16,4000.32,66.672,7079.18,93.748,81.21,-0.101883827532701,1,-0.101883827532701,"%Air","sec",0.07073,0.0046508,NA,37,30.533,1.019,-1.59141652519623,-342.181243054148,NA,"mgO2/hr/kg",342.181243054148,1.59141652519623,30.633,138
"12",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",12,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,846.701991354821,-0.102240779805175,0.998,3304,3393,7359.44,4400.6,73.3433333333333,7479.37,94.002,82.053,-0.101190394940401,1,-0.101190394940401,"%Air","sec",0.07073,0.0046508,NA,37,30.639,1.019,-1.57796724178849,-339.289421559407,NA,"mgO2/hr/kg",339.289421559407,1.57796724178849,30.739,138
"13",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",13,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,826.795787841041,-0.0943931718710359,0.996,3600,3690,7758.5,4799.66,79.9943333333333,7879.56,94.288,82.735,-0.0932632479048319,1,-0.0932632479048319,"%Air","sec",0.07073,0.0046508,NA,37,30.752,1.019,-1.45178691882117,-312.158535912353,NA,"mgO2/hr/kg",312.158535912353,1.45178691882117,30.852,138
"14",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",14,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1003.80024052496,-0.111501341954689,0.985,3898,3987,8160.04,5201.2,86.6866666666667,8280.05,93.646,79.261,-0.11029160222931,1,-0.11029160222931,"%Air","sec",0.07073,0.0046508,NA,37,30.836,1.019,-1.71461197860121,-368.670331685131,NA,"mgO2/hr/kg",368.670331685131,1.71461197860121,30.936,138
"15",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",15,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,974.925108012756,-0.103043551829043,0.998,4195,4283,8560.45,5601.61,93.3601666666667,8679.36,92.706,80.575,-0.101754226229162,1,-0.101754226229162,"%Air","sec",0.07073,0.0046508,NA,37,30.926,1.019,-1.57967224121151,-339.656025030428,NA,"mgO2/hr/kg",339.656025030428,1.57967224121151,31.026,138
"16",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",16,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1013.58188903502,-0.102804669504832,0.999,4491,4579,8959.49,6000.65,100.010833333333,9078.41,92.552,80.324,-0.101435920243442,1,-0.101435920243442,"%Air","sec",0.07073,0.0046508,NA,37,31.026,1.019,-1.57228262472256,-338.067133551767,NA,"mgO2/hr/kg",338.067133551767,1.57228262472256,31.126,138
"17",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",17,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1070.79032835649,-0.104495433035853,0.994,4788,4877,9359.77,6400.93,106.682166666667,9479.64,93.169,79.982,-0.103046919764219,1,-0.103046919764219,"%Air","sec",0.07073,0.0046508,NA,37,31.1,1.019,-1.59541772876087,-343.041568925963,NA,"mgO2/hr/kg",343.041568925963,1.59541772876087,31.2,138
"18",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",18,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1117.18074335727,-0.104942934119885,0.989,5085,5174,9759.84,6801,113.35,9879.72,92.454,79.6,-0.103414792181364,1,-0.103414792181364,"%Air","sec",0.07073,0.0046508,NA,37,31.23,1.019,-1.59788612880987,-343.572316334797,NA,"mgO2/hr/kg",343.572316334797,1.59788612880987,31.33,138
"19",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",19,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1209.66561236944,-0.109893682052635,0.997,5382,5470,10159.98,7201.14,120.019,10278.78,92.995,79.996,-0.108286005988542,1,-0.108286005988542,"%Air","sec",0.07073,0.0046508,NA,37,31.359,1.019,-1.66981154326868,-359.037486726732,NA,"mgO2/hr/kg",359.037486726732,1.66981154326868,31.459,138
"20",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",20,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1119.99033383822,-0.0972201323432442,0.996,5678,5767,10558.8,7599.96,126.666,10678.9,93.732,81.275,-0.0955329480280447,1,-0.0955329480280447,"%Air","sec",0.07073,0.0046508,NA,37,31.436,1.019,-1.4714003605717,-316.375754831793,NA,"mgO2/hr/kg",316.375754831793,1.4714003605717,31.536,138
"21",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",21,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1167.23521834222,-0.0978709954027685,0.99,5976,6064,10960.36,8001.52,133.358666666667,11079.17,94.279,82.462,-0.0961040152318291,1,-0.0961040152318291,"%Air","sec",0.07073,0.0046508,NA,37,31.561,1.019,-1.47733943419169,-317.652755266124,NA,"mgO2/hr/kg",317.652755266124,1.47733943419169,31.661,138
"22",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",22,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1393.38454725306,-0.114233188113022,0.992,6272,6361,11359.36,8400.52,140.008666666667,11479.43,95.515,82.547,-0.11238666784548,1,-0.11238666784548,"%Air","sec",0.07073,0.0046508,NA,37,31.662,1.019,-1.72495067997443,-370.893325873921,NA,"mgO2/hr/kg",370.893325873921,1.72495067997443,31.762,138
"23",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",23,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1612.8037434696,-0.129052846811844,0.993,6569,6658,11759.77,8800.93,146.682166666667,11879.76,94.944,79.831,-0.127126639162282,1,-0.127126639162282,"%Air","sec",0.07073,0.0046508,NA,37,31.805,1.019,-1.94689081404071,-418.614176924552,NA,"mgO2/hr/kg",418.614176924552,1.94689081404071,31.905,138
"24",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",24,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1563.2539147728,-0.120793477753856,0.996,6866,6955,12160.19,9201.35,153.355833333333,12280.15,93.644,79.931,-0.118787575756072,1,-0.118787575756072,"%Air","sec",0.07073,0.0046508,NA,37,31.884,1.019,-1.81697176216431,-390.679401858672,NA,"mgO2/hr/kg",390.679401858672,1.81697176216431,31.984,138
"25",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",25,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1503.4619327873,-0.112246844527176,0.989,7163,7252,12560.45,9601.61,160.026833333333,12680.02,92.902,79.552,-0.110161315852848,1,-0.110161315852848,"%Air","sec",0.07073,0.0046508,NA,37,32.019,1.019,-1.68153312921464,-361.557824291443,NA,"mgO2/hr/kg",361.557824291443,1.68153312921464,32.119,138
"26",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",26,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1673.05475190652,-0.121801716712775,0.994,7459,7548,12958.81,9999.97,166.666166666667,13078.81,94.459,79.75,-0.119636857923083,1,-0.119636857923083,"%Air","sec",0.07073,0.0046508,NA,37,32.108,1.019,-1.82367839804284,-392.121441051613,NA,"mgO2/hr/kg",392.121441051613,1.82367839804284,32.208,138
"27",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",27,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1648.49295987036,-0.116347727607433,0.994,7757,7846,13360.33,10401.49,173.358166666667,13480.1,94.031,80.748,-0.11410297543517,1,-0.11410297543517,"%Air","sec",0.07073,0.0046508,NA,37,32.213,1.019,-1.73652642112553,-373.382304361729,NA,"mgO2/hr/kg",373.382304361729,1.73652642112553,32.313,138
"28",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",28,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1727.10010776487,-0.118661257189909,0.993,8054,8142,13760.31,10801.47,180.0245,13879.08,94.092,80.984,-0.116336994776196,1,-0.116336994776196,"%Air","sec",0.07073,0.0046508,NA,37,32.315,1.019,-1.76776395958727,-380.098899025386,NA,"mgO2/hr/kg",380.098899025386,1.76776395958727,32.415,138
"29",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",29,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1650.84148436188,-0.109901225095191,0.993,8350,8439,14159.33,11200.49,186.674833333333,14279.08,95.172,81.073,-0.107497446468997,1,-0.107497446468997,"%Air","sec",0.07073,0.0046508,NA,37,32.436,1.019,-1.63042717591864,-350.56918721911,NA,"mgO2/hr/kg",350.56918721911,1.63042717591864,32.536,138
"30",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",30,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1799.65805545365,-0.117054081015116,0.989,8647,8736,14559.78,11600.94,193.349,14679.58,94.497,81.704,-0.114570594108296,1,-0.114570594108296,"%Air","sec",0.07073,0.0046508,NA,37,32.478,1.019,-1.73659246915399,-373.396505795561,NA,"mgO2/hr/kg",373.396505795561,1.73659246915399,32.578,138
"31",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",31,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1773.6879085439,-0.112239167658616,0.996,8944,9033,14959.39,12000.55,200.009166666667,15079.36,94.611,81.704,-0.109676127717961,1,-0.109676127717961,"%Air","sec",0.07073,0.0046508,NA,37,32.632,1.019,-1.6585053627145,-356.606468288144,NA,"mgO2/hr/kg",356.606468288144,1.6585053627145,32.732,138
"32",2023-07-13,"101.LSBI.160.31,5.1","101","LSBI","160","31","5","ASUS","ch2",32,"LSBI028","LSBI027","leading","St. Bee's Island",90,33.61,91.51,NA,-20.927,149.663,-20.927,149.663,3,89,294,2023-02-25,10,0.92226,1967.54093441011,-0.122018513620013,0.981,9229,9311,15359.67,12400.83,206.6805,15479.71,92.657,78.32,-0.119375797244227,1,-0.119375797244227,"%Air","sec",0.07073,0.0046508,NA,37,32.756,1.019,-1.80177752745279,-387.412386568501,NA,"mgO2/hr/kg",387.412386568501,1.80177752745279,32.856,138
