"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",2,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,151.261988335813,-0.0148145574470798,0.984,461,581,3523.52,0,0,3643.52,99.067,97.375,-0.0147154747327088,1,-0.0147154747327088,"%Air","sec",0.0716,0.0010679,NA,37,30.185,1.019,-0.233955322374519,-219.07980370308,NA,"mgO2/hr/kg",219.07980370308,0.233955322374519,30.135,128
"2",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",3,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,202.895757540622,-0.0262994025263376,0.964,862,982,3924.52,401,6.68333333333333,4044.53,99.312,96.749,-0.0261248570301609,1,-0.0261248570301609,"%Air","sec",0.0716,0.0010679,NA,37,30.175,1.019,-0.415413744183708,-389.000603224747,NA,"mgO2/hr/kg",389.000603224747,0.415413744183708,30.125,128
"3",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",4,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,198.092604358365,-0.0228712502415277,0.971,1262,1382,4324.52,801,13.35,4444.52,99.039,96.387,-0.0226214320295285,1,-0.0226214320295285,"%Air","sec",0.0716,0.0010679,NA,37,30.174,1.019,-0.359711118716734,-336.839702890471,NA,"mgO2/hr/kg",336.839702890471,0.359711118716734,30.124,128
"4",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",6,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,257.286371811395,-0.0307839148985187,0.951,2062,2182,5124.52,1601,26.6833333333333,5244.52,99.424,96.332,-0.0303835493730331,1,-0.0303835493730331,"%Air","sec",0.0716,0.0010679,NA,37,30.285,1.019,-0.482297263528684,-451.631485652855,NA,"mgO2/hr/kg",451.631485652855,0.482297263528684,30.235,128
"5",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",7,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,203.68402811501,-0.0189003622910062,0.976,2462,2582,5524.52,2001,33.35,5644.52,99.187,96.756,-0.0184247231087775,1,-0.0184247231087775,"%Air","sec",0.0716,0.0010679,NA,37,30.425,1.019,-0.291825670861226,-273.270597304267,NA,"mgO2/hr/kg",273.270597304267,0.291825670861226,30.375,128
"6",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",8,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,199.902614900959,-0.0169415417631261,0.982,2862,2982,5924.52,2401,40.0166666666667,6044.52,99.344,97.496,-0.0163906289241542,1,-0.0163906289241542,"%Air","sec",0.0716,0.0010679,NA,37,30.525,1.019,-0.259201773378217,-242.721016366904,NA,"mgO2/hr/kg",242.721016366904,0.259201773378217,30.475,128
"7",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",9,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,178.147471868304,-0.0123834518099268,0.958,3262,3382,6324.52,2801,46.6833333333333,6444.52,99.67,98.182,-0.0117572653142117,1,-0.0117572653142117,"%Air","sec",0.0716,0.0010679,NA,37,30.65,1.019,-0.185566563154076,-173.767734014492,NA,"mgO2/hr/kg",173.767734014492,0.185566563154076,30.6,128
"8",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",10,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,194.491296512208,-0.01406806605945,0.971,3662,3782,6724.52,3201,53.35,6844.52,99.71,97.997,-0.0133666059069917,1,-0.0133666059069917,"%Air","sec",0.0716,0.0010679,NA,37,30.757,1.019,-0.210614839926213,-197.223372905902,NA,"mgO2/hr/kg",197.223372905902,0.210614839926213,30.707,128
"9",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",11,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,214.558630281597,-0.0160970692083516,0.987,4062,4182,7124.52,3601,60.0166666666667,7244.52,99.804,98.029,-0.0153203353991502,1,-0.0153203353991502,"%Air","sec",0.0716,0.0010679,NA,37,30.859,1.019,-0.241015722617527,-225.691284406337,NA,"mgO2/hr/kg",225.691284406337,0.241015722617527,30.809,128
"10",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",12,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,193.468610178763,-0.0124490606472421,0.994,4462,4582,7524.52,4001,66.6833333333333,7644.52,99.783,98.193,-0.0115970531812975,1,-0.0115970531812975,"%Air","sec",0.0716,0.0010679,NA,37,30.972,1.019,-0.182121247621117,-170.541481057325,NA,"mgO2/hr/kg",170.541481057325,0.182121247621117,30.922,128
"11",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",13,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,200.343966274382,-0.012712717116414,0.971,4862,4982,7924.52,4401,73.35,8044.52,99.537,97.999,-0.0117854359937262,1,-0.0117854359937262,"%Air","sec",0.0716,0.0010679,NA,37,31.071,1.019,-0.184794944974672,-173.045177427355,NA,"mgO2/hr/kg",173.045177427355,0.184794944974672,31.021,128
"12",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",14,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,190.728840106576,-0.01092292293149,0.984,5262,5382,8324.53,4801.01,80.0168333333333,8444.52,99.672,98.503,-0.00992036721113829,1,-0.00992036721113829,"%Air","sec",0.0716,0.0010679,NA,37,31.198,1.019,-0.155244358612157,-145.373498091729,NA,"mgO2/hr/kg",145.373498091729,0.155244358612157,31.148,128
"13",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",15,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,184.454953396113,-0.00971632234474203,0.97,5662,5782,8724.52,5201,86.6833333333333,8844.52,99.572,98.436,-0.0086384939085679,1,-0.0086384939085679,"%Air","sec",0.0716,0.0010679,NA,37,31.276,1.019,-0.135020856715839,-126.435861706002,NA,"mgO2/hr/kg",126.435861706002,0.135020856715839,31.226,128
"14",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",16,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,201.080095307827,-0.0110934076315128,0.986,6062,6182,9124.52,5601,93.35,9244.52,99.786,98.454,-0.00994030553859554,1,-0.00994030553859554,"%Air","sec",0.0716,0.0010679,NA,37,31.425,1.019,-0.15501033886109,-145.154357955886,NA,"mgO2/hr/kg",145.154357955886,0.15501033886109,31.375,128
"15",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",17,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,189.987877135507,-0.00948876547062111,0.979,6462,6582,9524.53,6001.01,100.016833333333,9644.52,99.69,98.382,-0.00826038878003993,1,-0.00826038878003993,"%Air","sec",0.0716,0.0010679,NA,37,31.522,1.019,-0.128620504644111,-120.442461507736,NA,"mgO2/hr/kg",120.442461507736,0.128620504644111,31.472,128
"16",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",18,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,197.141189832283,-0.00981293255878526,0.952,6862,6982,9924.52,6401,106.683333333333,10044.52,99.601,98.496,-0.00850928315238162,1,-0.00850928315238162,"%Air","sec",0.0716,0.0010679,NA,37,31.619,1.019,-0.132297699638658,-123.885850396721,NA,"mgO2/hr/kg",123.885850396721,0.132297699638658,31.569,128
"17",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",19,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,214.650140279972,-0.0111114123616614,0.968,7262,7382,10324.52,6801,113.35,10444.52,99.825,98.435,-0.00973248929851462,1,-0.00973248929851462,"%Air","sec",0.0716,0.0010679,NA,37,31.705,1.019,-0.151114896354916,-141.506598328416,NA,"mgO2/hr/kg",141.506598328416,0.151114896354916,31.655,128
"18",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",20,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,243.30005642733,-0.0133565901846444,0.969,7662,7782,10724.52,7201,120.016666666667,10844.52,99.894,98.45,-0.0119023934647544,1,-0.0119023934647544,"%Air","sec",0.0716,0.0010679,NA,37,31.808,1.019,-0.184513710328382,-172.78182444834,NA,"mgO2/hr/kg",172.78182444834,0.184513710328382,31.758,128
"19",2023-07-05,"102.LSBICHA.353.30.2","102","LSBICHA","353","30","2","DELL","ch4",21,"LSBI034","LCHA120","leading","Chauvel Reef/St. Bee's Island",85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,3,91,493,2023-02-27,10,0.43659,235.339895588998,-0.0121858817062285,0.986,8062,8182,11124.52,7601,126.683333333333,11244.52,99.704,98.29,-0.0106564113295954,1,-0.0106564113295954,"%Air","sec",0.0716,0.0010679,NA,37,31.919,1.019,-0.164916382288737,-154.43054807448,NA,"mgO2/hr/kg",154.43054807448,0.164916382288737,31.869,128
