"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",1,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,371.044911950037,-0.0471446021483685,0.964,45,133,5827.44,0,0,5947.64,96.545,90.801,-0.046490670752014,1,-0.046490670752014,"%Air","sec",0.07051,0.0011254,NA,36,30.375,1.019,-0.729700630910832,-648.392243567471,NA,"mgO2/hr/kg",648.392243567471,0.729700630910832,30.375,128
"2",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",2,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,413.513511190638,-0.0507809634927256,0.998,339,427,6228.01,400.570000000001,6.67616666666668,6347.95,97.198,91.339,-0.0499865144319495,1,-0.0499865144319495,"%Air","sec",0.07051,0.0011254,NA,36,30.277,1.019,-0.785780667168067,-698.22344692382,NA,"mgO2/hr/kg",698.22344692382,0.785780667168067,30.277,128
"3",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",3,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,350.882199468812,-0.0382356854586605,0.996,632,720,6627.15,799.71,13.3285,6746.77,97.578,92.892,-0.0373012310593794,1,-0.0373012310593794,"%Air","sec",0.07051,0.0011254,NA,36,30.271,1.019,-0.586425265641883,-521.08162932458,NA,"mgO2/hr/kg",521.08162932458,0.586425265641883,30.271,128
"4",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",4,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,397.224033507644,-0.0425940797587659,0.994,925,1013,7026.54,1199.1,19.985,7146.4,97.836,93.044,-0.0415194340396539,1,-0.0415194340396539,"%Air","sec",0.07051,0.0011254,NA,36,30.318,1.019,-0.652258390787468,-579.579163664002,NA,"mgO2/hr/kg",579.579163664002,0.652258390787468,30.318,128
"5",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",5,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,392.557575201889,-0.0396702446826696,0.957,1220,1308,7427.67,1600.23,26.6705,7547.51,97.651,92.709,-0.0384548426815858,1,-0.0384548426815858,"%Air","sec",0.07051,0.0011254,NA,36,30.284,1.019,-0.604437872338879,-537.087144427652,NA,"mgO2/hr/kg",537.087144427652,0.604437872338879,30.284,128
"6",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",6,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,394.161410502341,-0.037838750279362,0.992,1513,1601,7826.8,1999.36,33.3226666666667,7946.95,97.791,93.319,-0.0364832359127839,1,-0.0364832359127839,"%Air","sec",0.07051,0.0011254,NA,36,30.345,1.019,-0.572897780852197,-509.061472234048,NA,"mgO2/hr/kg",509.061472234048,0.572897780852197,30.345,128
"7",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",7,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,407.179374603279,-0.0376316338906536,0.989,1807,1896,8227.27,2399.83,39.9971666666667,8348.35,97.669,92.828,-0.0361354281601137,1,-0.0361354281601137,"%Air","sec",0.07051,0.0011254,NA,36,30.364,1.019,-0.567266617944461,-504.057773186832,NA,"mgO2/hr/kg",504.057773186832,0.567266617944461,30.364,128
"8",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",8,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,522.99495992251,-0.0493571895840752,0.994,2101,2189,8627.03,2799.59,46.6598333333334,8746.87,96.954,91.365,-0.0477209223697243,1,-0.0477209223697243,"%Air","sec",0.07051,0.0011254,NA,36,30.48,1.019,-0.747775632481974,-664.453201068042,NA,"mgO2/hr/kg",664.453201068042,0.747775632481975,30.48,128
"9",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",10,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,472.470227524664,-0.0397324923598161,0.97,2688,2776,9427.44,3600,60,9547.33,97.71,92.728,-0.0378153459707542,1,-0.0378153459707542,"%Air","sec",0.07051,0.0011254,NA,36,30.717,1.019,-0.590360296370581,-524.578191194759,NA,"mgO2/hr/kg",524.578191194759,0.590360296370581,30.717,128
"10",2023-07-11,"107.CPRE.123.31,5.2","107","CPRE","123","31","5","ASUS","ch3",11,"CPRE521","CPRE524","core","Pretty Patches",93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,2023-03-05,10,0.91183,443.208076010868,-0.0350383650784234,0.996,2981,3069,9826.54,3999.1,66.6516666666667,9946.15,98.928,94.487,-0.0329812203690197,1,-0.0329812203690197,"%Air","sec",0.07051,0.0011254,NA,36,30.786,1.019,-0.514336098341719,-457.025145141033,NA,"mgO2/hr/kg",457.025145141033,0.514336098341719,30.786,128
