,exp_date,sampleID,clutch_number,reef.abbrv,tank,dev.temp,replicate,system,chamber,rep,male,female,region,population,male_standard_length,male_mass,female_standard_length,female_mass,male_lat,male_long,female_lat,female_long,clutch_order,days_in_treatment,egg_count,date_of_hatch,hatching_time,hatching_success,intercept_b0,slope_b1,rsq,row,endrow,time,time_lag_sec,time_lag_min,endtime,oxy,endoxy,rate.input,rank,rate,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output,rate.output2,Temperature,age
1,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,1,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,444.2622555,-0.075816733,0.971,61,181,4607.54,0,0,4727.54,95.344,86.281,-0.075803165,1,-0.075803165,%Air,sec,0.07177,0.0014995,NA,37,29.996,1.019,-1.211624635,-808.0190967,NA,mgO2/hr/kg,808.0190967,1.211624635,29.996,127
2,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,2,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,196.5036968,-0.019564013,0.978,461,581,5007.54,400,6.666666667,5127.54,98.516,96.086,-0.019508227,1,-0.019508227,%Air,sec,0.07177,0.0014995,NA,37,30.034,1.019,-0.311629438,-207.8222324,NA,mgO2/hr/kg,207.8222324,0.311629438,30.034,127
3,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,3,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,305.157223,-0.037969011,0.965,861,981,5407.54,800,13.33333333,5527.54,99.509,95.231,-0.037871006,1,-0.037871006,%Air,sec,0.07177,0.0014995,NA,37,30.036,1.019,-0.604942141,-403.4292374,NA,mgO2/hr/kg,403.4292374,0.604942141,30.036,127
4,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,5,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,315.2492278,-0.034664002,0.984,1661,1781,6207.54,1600,26.66666667,6327.54,100.07,95.713,-0.03448156,1,-0.03448156,%Air,sec,0.07177,0.0014995,NA,37,29.981,1.019,-0.551277606,-367.6409513,NA,mgO2/hr/kg,367.6409513,0.551277606,29.981,127
5,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,6,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,345.2795014,-0.037121917,0.977,2061,2181,6607.54,2000,33.33333333,6727.54,99.626,95.1,-0.036897256,1,-0.036897256,%Air,sec,0.07177,0.0014995,NA,37,30.001,1.019,-0.589712848,-393.2729896,NA,mgO2/hr/kg,393.2729896,0.589712848,30.001,127
6,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,7,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,370.2728775,-0.038601842,0.992,2461,2581,7007.54,2400,40,7127.54,99.747,95.032,-0.038334961,1,-0.038334961,%Air,sec,0.07177,0.0014995,NA,37,29.983,1.019,-0.612864947,-408.7128692,NA,mgO2/hr/kg,408.7128692,0.612864947,29.983,127
7,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,8,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,367.5854659,-0.036181152,0.988,2861,2981,7407.54,2800,46.66666667,7527.55,99.467,95.232,-0.035872052,1,-0.035872052,%Air,sec,0.07177,0.0014995,NA,37,29.976,1.019,-0.573553467,-382.4964767,NA,mgO2/hr/kg,382.4964767,0.573553467,29.976,127
8,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,9,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,400.7896423,-0.038545027,0.994,3261,3381,7807.54,3200,53.33333333,7927.54,99.669,95.334,-0.038193708,1,-0.038193708,%Air,sec,0.07177,0.0014995,NA,37,30.099,1.019,-0.609491944,-406.4634508,NA,mgO2/hr/kg,406.4634508,0.609491944,30.099,127
9,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,10,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,502.1102327,-0.049000513,0.996,3661,3781,8207.54,3600,60,8327.54,99.785,93.961,-0.048606976,1,-0.048606976,%Air,sec,0.07177,0.0014995,NA,37,30.171,1.019,-0.774787811,-516.6974397,NA,mgO2/hr/kg,516.6974397,0.774787811,30.171,127
10,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,11,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,485.8813925,-0.044860057,0.986,4061,4181,8607.54,4000,66.66666667,8727.56,99.834,94.675,-0.0444243,1,-0.0444243,%Air,sec,0.07177,0.0014995,NA,37,30.299,1.019,-0.706693914,-471.2863712,NA,mgO2/hr/kg,471.2863712,0.706693914,30.299,127
11,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,12,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,511.4080593,-0.045672698,0.983,4461,4581,9007.54,4400,73.33333333,9127.54,99.855,94.959,-0.045194723,1,-0.045194723,%Air,sec,0.07177,0.0014995,NA,37,30.391,1.019,-0.717912711,-478.7680635,NA,mgO2/hr/kg,478.7680635,0.717912711,30.391,127
12,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,13,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,428.6227725,-0.034960337,0.963,4861,4981,9407.54,4800,80,9527.54,99.737,95.216,-0.034440143,1,-0.034440143,%Air,sec,0.07177,0.0014995,NA,37,30.509,1.019,-0.546067075,-364.1661053,NA,mgO2/hr/kg,364.1661053,0.546067075,30.509,127
13,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,14,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,558.9077498,-0.046794759,0.996,5261,5381,9807.54,5200,86.66666667,9927.54,99.95,94.323,-0.046232346,1,-0.046232346,%Air,sec,0.07177,0.0014995,NA,37,30.615,1.019,-0.73182429,-488.0455422,NA,mgO2/hr/kg,488.0455422,0.73182429,30.615,127
14,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,15,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,484.1493964,-0.037729501,0.968,5661,5781,10207.54,5600,93.33333333,10327.54,99.497,93.982,-0.03712487,1,-0.03712487,%Air,sec,0.07177,0.0014995,NA,37,30.73,1.019,-0.58660489,-391.2003271,NA,mgO2/hr/kg,391.2003271,0.58660489,30.73,127
15,10/07/2023,107.CPRE.149.30.2,107,CPRE,149,30,1,DELL,ch3,17,CPRE521,CPRE524,core,Pretty Patches,93.74,40.78,96.08,44.85,-16.622,146.042,-16.622,146.042,1,97,441,5/03/2023,10,0.91183,651.4713463,-0.050042474,0.991,6461,6581,11007.54,6400,106.6666667,11127.54,100.19,94.709,-0.049353404,1,-0.049353404,%Air,sec,0.07177,0.0014995,NA,37,30.917,1.019,-0.7775562,-518.5436478,NA,mgO2/hr/kg,518.5436478,0.7775562,30.917,127
