"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",2,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,353.790459371265,-0.0575354035561254,0.951,461,581,4433.47,0,0,4553.48,97.8,91.85,-0.0573786201481592,1,-0.0573786201481592,"%Air","sec",0.07193,0.001528,NA,35,30.248,1.019,-0.925628410889152,-605.777755817508,NA,"mgO2/hr/kg",605.777755817508,0.925628410889152,30.248,123
"2",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",3,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,289.29749163628,-0.039689576381314,0.978,861,981,4833.47,400,6.66666666666667,4953.48,97.6,92.35,-0.0394136736168988,1,-0.0394136736168988,"%Air","sec",0.07193,0.001528,NA,35,30.245,1.019,-0.635849102371933,-416.131611499956,NA,"mgO2/hr/kg",416.131611499956,0.635849102371933,30.245,123
"3",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",4,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,285.645945957514,-0.0359055343979237,0.966,1261,1381,5233.47,800,13.3333333333333,5353.48,97.455,93.323,-0.0355105122770596,1,-0.0355105122770596,"%Air","sec",0.07193,0.001528,NA,35,30.266,1.019,-0.572690670576345,-374.797559277713,NA,"mgO2/hr/kg",374.797559277713,0.572690670576345,30.266,123
"4",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",5,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,280.917338899286,-0.0326127981039027,0.954,1661,1781,5633.47,1200,20,5753.48,97.611,93.588,-0.0320986566265896,1,-0.0320986566265896,"%Air","sec",0.07193,0.001528,NA,35,30.256,1.019,-0.517748182016227,-338.840433256693,NA,"mgO2/hr/kg",338.840433256693,0.517748182016227,30.256,123
"5",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",6,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,272.89897241168,-0.0290229328253971,0.985,2061,2181,6033.47,1600,26.6666666666667,6153.48,97.895,94.276,-0.0283896719916351,1,-0.0283896719916351,"%Air","sec",0.07193,0.001528,NA,35,30.254,1.019,-0.457937082085743,-299.697043249832,NA,"mgO2/hr/kg",299.697043249832,0.457937082085743,30.254,123
"6",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",7,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,322.417202951883,-0.0348474285914077,0.977,2461,2581,6433.48,2000.01,33.3335,6553.47,98.186,93.873,-0.0340950484011967,1,-0.0340950484011967,"%Air","sec",0.07193,0.001528,NA,35,30.293,1.019,-0.549628734881271,-359.704669424916,NA,"mgO2/hr/kg",359.704669424916,0.549628734881271,30.293,123
"7",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",8,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,429.681097209587,-0.0484633499266069,0.995,2861,2981,6833.48,2400.01,40.0001666666667,6953.47,98.259,92.878,-0.0475918503799469,1,-0.0475918503799469,"%Air","sec",0.07193,0.001528,NA,35,30.348,1.019,-0.766538473402853,-501.661304583019,NA,"mgO2/hr/kg",501.661304583019,0.766538473402853,30.348,123
"8",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",9,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,400.322992048611,-0.0416748964481614,0.961,3261,3381,7233.48,2800.01,46.6668333333333,7353.47,98.64,94.383,-0.0406842775450524,1,-0.0406842775450524,"%Air","sec",0.07193,0.001528,NA,35,30.455,1.019,-0.654177818675668,-428.126844683029,NA,"mgO2/hr/kg",428.126844683029,0.654177818675668,30.455,123
"9",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",10,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,328.200019670255,-0.0300446666694748,0.957,3661,3781,7633.48,3200.01,53.3335,7753.47,98.495,94.738,-0.0289349284099169,1,-0.0289349284099169,"%Air","sec",0.07193,0.001528,NA,35,30.561,1.019,-0.464480330112796,-303.979273634029,NA,"mgO2/hr/kg",303.979273634029,0.464480330112796,30.561,123
"10",2023-07-06,"108.CARL.236.28,5.1","108","CARL","236","28","5","DELL","ch2",11,"CARL369","CARL349","core","Arlington Reef",89.42,36.74,80.88,24.91,-16.702,145.986,-16.702,145.986,1,97,468,2023-03-05,10,0.80531,410.572522194852,-0.0387730767571441,0.987,4061,4181,8033.47,3600,60,8153.48,98.941,94.52,-0.0375442191411372,1,-0.0375442191411372,"%Air","sec",0.07193,0.001528,NA,35,30.668,1.019,-0.601669364122686,-393.762672855161,NA,"mgO2/hr/kg",393.762672855161,0.601669364122686,30.668,123
