"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",1,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,100.816056530854,-0.0384911071234998,0.988,45,134,85.04,0,0,205.17,97.247,92.652,-0.0383560092729129,1,-0.0383560092729129,"%Air","sec",0.06891,0.0014592,NA,37,30.068,1.019,-0.587977658818114,-402.945215747063,NA,"mgO2/hr/kg",402.945215747063,0.587977658818114,30.168,127
"2",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",3,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,134.233393926538,-0.0424574412093124,0.988,640,729,885.61,800.57,13.3428333333333,1005.16,96.57,91.206,-0.0421126370104731,1,-0.0421126370104731,"%Air","sec",0.06891,0.0014592,NA,37,30.07,1.019,-0.64554447552685,-442.396159215221,NA,"mgO2/hr/kg",442.396159215221,0.64554447552685,30.17,127
"3",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",4,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,141.007212814925,-0.0349706559295621,0.994,937,1027,1284.73,1199.69,19.9948333333333,1405.74,96.056,92.119,-0.0345210745485506,1,-0.0345210745485506,"%Air","sec",0.06891,0.0014592,NA,37,30.107,1.019,-0.528865290476587,-362.435094898977,NA,"mgO2/hr/kg",362.435094898977,0.528865290476587,30.207,127
"4",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",5,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,149.996082771632,-0.0318359356122863,0.983,1234,1324,1684.74,1599.7,26.6616666666667,1805.91,96.145,92.209,-0.0312815141592096,1,-0.0312815141592096,"%Air","sec",0.06891,0.0014592,NA,37,30.111,1.019,-0.479204828365137,-328.40243171953,NA,"mgO2/hr/kg",328.40243171953,0.479204828365138,30.211,127
"5",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",6,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,168.666017652183,-0.034474672009998,0.983,1532,1621,2086.22,2001.18,33.353,2206.19,96.821,92.693,-0.0338152034722916,1,-0.0338152034722916,"%Air","sec",0.06891,0.0014592,NA,37,30.107,1.019,-0.518051295933638,-355.024188551013,NA,"mgO2/hr/kg",355.024188551013,0.518051295933638,30.207,127
"6",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",7,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,175.147280454675,-0.0318220409022112,0.976,1829,1918,2486.15,2401.11,40.0185,2605.89,95.909,91.973,-0.0310578043537754,1,-0.0310578043537754,"%Air","sec",0.06891,0.0014592,NA,37,30.117,1.019,-0.475732870773914,-326.02307481765,NA,"mgO2/hr/kg",326.02307481765,0.475732870773914,30.217,127
"7",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",8,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,188.65690889237,-0.0317770692621931,0.993,2126,2215,2885.87,2800.83,46.6805,3005.59,96.958,93.373,-0.0309080922173561,1,-0.0309080922173561,"%Air","sec",0.06891,0.0014592,NA,37,30.123,1.019,-0.473394932253773,-324.420869143211,NA,"mgO2/hr/kg",324.420869143211,0.473394932253773,30.223,127
"8",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",9,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,215.123992671123,-0.0358381752442801,0.981,2423,2512,3285.71,3200.67,53.3445,3405.32,97.354,93.257,-0.0348644380499503,1,-0.0348644380499503,"%Air","sec",0.06891,0.0014592,NA,37,30.204,1.019,-0.533311354687532,-365.482013903188,NA,"mgO2/hr/kg",365.482013903188,0.533311354687532,30.304,127
"9",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",10,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,214.259669829525,-0.0317066928002204,0.984,2721,2810,3686.47,3601.43,60.0238333333333,3806.47,97.445,93.018,-0.0306278888681693,1,-0.0306278888681693,"%Air","sec",0.06891,0.0014592,NA,37,30.3,1.019,-0.467800096058312,-320.586688636453,NA,"mgO2/hr/kg",320.586688636453,0.467800096058312,30.4,127
"10",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",11,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,196.892983433481,-0.0243268884339086,0.99,3018,3107,4086.45,4001.41,66.6901666666667,4206.09,97.477,94.555,-0.0231433204217464,1,-0.0231433204217464,"%Air","sec",0.06891,0.0014592,NA,37,30.408,1.019,-0.35288495105752,-241.83453334534,NA,"mgO2/hr/kg",241.83453334534,0.35288495105752,30.508,127
"11",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",13,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,239.613267510192,-0.0289832731463187,0.977,3612,3701,4885.85,4800.81,80.0135,5005.47,97.737,94.298,-0.0275902320025906,1,-0.0275902320025906,"%Air","sec",0.06891,0.0014592,NA,37,30.681,1.019,-0.418897400267105,-287.073328033926,NA,"mgO2/hr/kg",287.073328033926,0.418897400267105,30.781,127
"12",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",15,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,237.079205754341,-0.0244898483376224,0.974,4207,4296,5686.51,5601.47,93.3578333333333,5806.14,97.541,94.686,-0.0228869999597719,1,-0.0228869999597719,"%Air","sec",0.06891,0.0014592,NA,37,30.855,1.019,-0.3465470990014,-237.491158855126,NA,"mgO2/hr/kg",237.491158855126,0.3465470990014,30.955,127
"13",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",16,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,312.540598941272,-0.0352057470565699,0.979,4504,4593,6085.52,6000.48,100.008,6205.14,98.224,94.35,-0.0334983429213788,1,-0.0334983429213788,"%Air","sec",0.06891,0.0014592,NA,37,30.975,1.019,-0.50627356159968,-346.952824561184,NA,"mgO2/hr/kg",346.952824561184,0.50627356159968,31.075,127
"14",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",17,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,194.175937904501,-0.0149472929569172,0.959,4802,4891,6486.31,6401.27,106.687833333333,6605.96,97.528,95.343,-0.013134861390188,1,-0.013134861390188,"%Air","sec",0.06891,0.0014592,NA,37,31.092,1.019,-0.19815154171418,-135.794642073862,NA,"mgO2/hr/kg",135.794642073862,0.19815154171418,31.192,127
"15",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",18,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,320.969349282229,-0.0323872585980034,0.976,5099,5188,6885.61,6800.57,113.342833333333,7005.22,97.58,94.163,-0.030470199212598,1,-0.030470199212598,"%Air","sec",0.06891,0.0014592,NA,37,31.189,1.019,-0.458979449209642,-314.541837451783,NA,"mgO2/hr/kg",314.541837451783,0.458979449209642,31.289,127
"16",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",19,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,343.569168378079,-0.0337789327702967,0.978,5397,5486,7286.12,7201.08,120.018,7405.8,97.18,92.831,-0.0317569140840706,1,-0.0317569140840706,"%Air","sec",0.06891,0.0014592,NA,37,31.276,1.019,-0.477716618649812,-327.38255115804,NA,"mgO2/hr/kg",327.38255115804,0.477716618649812,31.376,127
"17",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",20,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,349.937125621633,-0.03280739591481,0.987,5694,5784,7685.41,7600.37,126.672833333333,7806.35,97.519,93.832,-0.0306805817035263,1,-0.0306805817035263,"%Air","sec",0.06891,0.0014592,NA,37,31.428,1.019,-0.46044058443426,-315.543163674794,NA,"mgO2/hr/kg",315.543163674794,0.46044058443426,31.528,127
"18",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",21,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,352.914838536174,-0.03151771954807,0.963,5992,6081,8085.76,8000.72,133.345333333333,8205.29,97.749,93.957,-0.0292861818730644,1,-0.0292861818730644,"%Air","sec",0.06891,0.0014592,NA,37,31.547,1.019,-0.438706427135823,-300.648593157773,NA,"mgO2/hr/kg",300.648593157773,0.438706427135823,31.647,127
"19",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",22,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,333.488842544539,-0.0278368064132792,0.989,6290,6379,8485.73,8400.69,140.0115,8605.19,97.417,93.93,-0.0255004692825977,1,-0.0255004692825977,"%Air","sec",0.06891,0.0014592,NA,37,31.596,1.019,-0.381707650478371,-261.586931523006,NA,"mgO2/hr/kg",261.586931523006,0.381707650478371,31.696,127
"20",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",23,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,404.2796249615,-0.0344875263600089,0.979,6588,6677,8885.93,8800.89,146.6815,9005.62,97.901,93.287,-0.0320462901979875,1,-0.0320462901979875,"%Air","sec",0.06891,0.0014592,NA,37,31.703,1.019,-0.478898767282631,-328.192685911891,NA,"mgO2/hr/kg",328.192685911891,0.478898767282631,31.803,127
"21",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",24,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,340.509645385747,-0.0261714265756147,0.959,6886,6975,9286.04,9201,153.35,9405.52,97.843,93.941,-0.0236253726150319,1,-0.0236253726150319,"%Air","sec",0.06891,0.0014592,NA,37,31.842,1.019,-0.352301905739499,-241.434968297354,NA,"mgO2/hr/kg",241.434968297354,0.352301905739499,31.942,127
"22",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",26,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,421.780849672968,-0.0320992045319027,0.956,7482,7571,10086.38,10001.34,166.689,10205.87,97.912,94.512,-0.0293434271903881,1,-0.0293434271903881,"%Air","sec",0.06891,0.0014592,NA,37,32.034,1.019,-0.436280439092833,-298.986046527435,NA,"mgO2/hr/kg",298.986046527435,0.436280439092833,32.134,127
"23",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",27,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,356.86333844012,-0.0247571330879465,0.97,7779,7868,10485.53,10400.49,173.3415,10604.95,97.729,94.366,-0.0218967711645571,1,-0.0218967711645571,"%Air","sec",0.06891,0.0014592,NA,37,32.159,1.019,-0.324939405421076,-222.683254811593,NA,"mgO2/hr/kg",222.683254811593,0.324939405421076,32.259,127
"24",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",28,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,422.995973245578,-0.0298939920532158,0.985,8077,8166,10885.91,10800.87,180.0145,11005.51,97.649,94.178,-0.0269286904820973,1,-0.0269286904820973,"%Air","sec",0.06891,0.0014592,NA,37,32.29,1.019,-0.398810290726136,-273.307490903328,NA,"mgO2/hr/kg",273.307490903328,0.398810290726136,32.39,127
"25",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",29,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,407.042003999058,-0.0274153876783767,0.961,8375,8464,11285.71,11200.67,186.677833333333,11405.19,97.516,94.235,-0.0243453377496203,1,-0.0243453377496203,"%Air","sec",0.06891,0.0014592,NA,37,32.357,1.019,-0.360181917632078,-246.835195745667,NA,"mgO2/hr/kg",246.835195745667,0.360181917632078,32.457,127
"26",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",30,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,402.406024960449,-0.0260707494210267,0.985,8673,8762,11685.9,11600.86,193.347666666667,11805.35,97.92,94.513,-0.0228958371467013,1,-0.0228958371467013,"%Air","sec",0.06891,0.0014592,NA,37,32.449,1.019,-0.338261177347503,-231.812758598892,NA,"mgO2/hr/kg",231.812758598892,0.338261177347503,32.549,127
"27",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",31,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,441.791104329173,-0.0284735005829687,0.992,8971,9060,12086.16,12001.12,200.018666666667,12205.4,97.827,94.361,-0.0251937312038988,1,-0.0251937312038988,"%Air","sec",0.06891,0.0014592,NA,37,32.581,1.019,-0.371461173903681,-254.564949221272,NA,"mgO2/hr/kg",254.564949221272,0.371461173903681,32.681,127
"28",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",32,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,513.215387644225,-0.033225694348247,0.986,9269,9358,12485.89,12400.85,206.680833333333,12605.33,98.069,94.433,-0.0298411530278294,1,-0.0298411530278294,"%Air","sec",0.06891,0.0014592,NA,37,32.699,1.019,-0.439193399330448,-300.982318620099,NA,"mgO2/hr/kg",300.982318620099,0.439193399330448,32.799,127
"29",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",33,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,654.133093049416,-0.0431532500034782,0.977,9567,9656,12885.76,12800.72,213.345333333333,13005.2,97.675,93.035,-0.039663926260064,1,-0.039663926260064,"%Air","sec",0.06891,0.0014592,NA,37,32.749,1.019,-0.583318064455314,-399.751963031328,NA,"mgO2/hr/kg",399.751963031328,0.583318064455314,32.849,127
"30",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",34,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,600.982484485706,-0.0378737863049663,0.994,9865,9954,13285.6,13200.56,220.009333333333,13404.81,97.721,93.018,-0.0342797181345325,1,-0.0342797181345325,"%Air","sec",0.06891,0.0014592,NA,37,32.906,1.019,-0.502933488034167,-344.663848707626,NA,"mgO2/hr/kg",344.663848707626,0.502933488034167,33.006,127
"31",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",35,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,681.81956054341,-0.0426598039560863,0.983,10163,10252,13685.59,13600.55,226.675833333333,13805.09,97.921,93.382,-0.0389608839217324,1,-0.0389608839217324,"%Air","sec",0.06891,0.0014592,NA,37,32.994,1.019,-0.570850058514055,-391.207551065005,NA,"mgO2/hr/kg",391.207551065005,0.570850058514055,33.094,127
"32",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",36,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,458.993613647917,-0.0256888929349025,0.968,10461,10550,14085.73,14000.69,233.344833333333,14205.36,97.152,94.213,-0.021885102693743,1,-0.021885102693743,"%Air","sec",0.06891,0.0014592,NA,37,33.082,1.019,-0.320230272098841,-219.456052699315,NA,"mgO2/hr/kg",219.456052699315,0.320230272098841,33.182,127
"33",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",37,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,691.030120511928,-0.0409219515190509,0.967,10759,10848,14485.74,14400.7,240.011666666667,14605.1,97.661,93.469,-0.0370133775446888,1,-0.0370133775446888,"%Air","sec",0.06891,0.0014592,NA,37,33.221,1.019,-0.540453676805868,-370.376697372442,NA,"mgO2/hr/kg",370.376697372442,0.540453676805868,33.321,127
"34",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",38,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,579.323487745342,-0.0323219544786033,0.986,11057,11146,14885.97,14800.93,246.682166666667,15005.8,97.802,94.221,-0.0283084421667182,1,-0.0283084421667182,"%Air","sec",0.06891,0.0014592,NA,37,33.317,1.019,-0.412748334344892,-282.859330006094,NA,"mgO2/hr/kg",282.859330006094,0.412748334344892,33.417,127
"35",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",39,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,569.756043736201,-0.030841388369281,0.968,11355,11444,15286.58,15201.54,253.359,15406.23,97.816,94.225,-0.0267229233076057,1,-0.0267229233076057,"%Air","sec",0.06891,0.0014592,NA,37,33.437,1.019,-0.388925416196658,-266.533317020736,NA,"mgO2/hr/kg",266.533317020736,0.388925416196658,33.537,127
"36",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",41,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,603.00454010013,-0.031397702685109,0.954,11950,12039,16085.69,16000.65,266.6775,16205.25,97.386,94,-0.0270698496552646,1,-0.0270698496552646,"%Air","sec",0.06891,0.0014592,NA,37,33.641,1.019,-0.392765049351795,-269.164644566746,NA,"mgO2/hr/kg",269.164644566746,0.392765049351795,33.741,127
"37",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",42,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,695.488972589984,-0.0362777292956461,0.961,12248,12337,16485.75,16400.71,273.345166666667,16605.38,97.147,92.562,-0.0318450348835305,1,-0.0318450348835305,"%Air","sec",0.06891,0.0014592,NA,37,33.72,1.019,-0.461500780594856,-316.269723543624,NA,"mgO2/hr/kg",316.269723543624,0.461500780594856,33.82,127
"38",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",44,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,710.955728874289,-0.035449335492107,0.97,12844,12933,17286.19,17201.15,286.685833333333,17405.82,97.868,93.452,-0.0308068928051436,1,-0.0308068928051436,"%Air","sec",0.06891,0.0014592,NA,37,33.927,1.019,-0.445069718317216,-305.009401259057,NA,"mgO2/hr/kg",305.009401259057,0.445069718317216,34.027,127
"39",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",45,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,672.926331546467,-0.0325497694592798,0.986,13142,13231,17685.85,17600.81,293.346833333333,17805.08,97.128,93.327,-0.0278026517862204,1,-0.0278026517862204,"%Air","sec",0.06891,0.0014592,NA,37,34.021,1.019,-0.401101350777092,-274.877570433863,NA,"mgO2/hr/kg",274.877570433863,0.401101350777092,34.121,127
"40",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",47,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,730.943597230029,-0.0342676012452876,0.988,13739,13828,18486.36,18401.32,306.688666666667,18605.72,97.357,93.099,-0.0293106999218156,1,-0.0293106999218156,"%Air","sec",0.06891,0.0014592,NA,37,34.231,1.019,-0.421530167848098,-288.877582132742,NA,"mgO2/hr/kg",288.877582132742,0.421530167848098,34.331,127
"41",2023-07-12,"110.CPRE.329.30.2","110","CPRE","329","30","2","ASUS","ch4",48,"CPRE453","CPRE459","core","Pretty Patches",94.8,45.82,99.72,53.26,-16.622,146.042,-16.622,146.042,1,99,562,2023-03-07,10,0.95109,750.648738878179,-0.0345800023088833,0.978,14037,14126,18886.54,18801.5,313.358333333333,19006.16,97.343,93.049,-0.0295182032642775,1,-0.0295182032642775,"%Air","sec",0.06891,0.0014592,NA,37,34.396,1.019,-0.423469177474163,-290.20639903657,NA,"mgO2/hr/kg",290.20639903657,0.423469177474163,34.496,127
