"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",1,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,267.063909388249,-0.093381358490673,0.992,61,181,1869.95,0,0,1990.22,92.013,81.324,-0.0933456542885441,1,-0.0933456542885441,"%Air","sec",0.0705,0.0019593,NA,37,30.713,1.019,-1.44922650768053,-739.665445659433,NA,"mgO2/hr/kg",739.665445659433,1.44922650768053,30.713,145
"2",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",2,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,274.370528649464,-0.0802059799510038,0.992,460,580,2270.22,400.27,6.67116666666666,2390.47,92.742,82.412,-0.0800560257273367,1,-0.0800560257273367,"%Air","sec",0.0705,0.0019593,NA,37,30.847,1.019,-1.24030483289274,-633.034672022018,NA,"mgO2/hr/kg",633.034672022018,1.24030483289274,30.847,145
"3",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",3,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,253.857123491199,-0.0600698617276086,0.993,859,979,2669.87,799.92,13.332,2790.02,94.13,86.118,-0.0598058458724853,1,-0.0598058458724853,"%Air","sec",0.0705,0.0019593,NA,37,30.932,1.019,-0.925343674106567,-472.282791867793,NA,"mgO2/hr/kg",472.282791867793,0.925343674106567,30.932,145
"4",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",4,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,341.830302095623,-0.08014401822008,0.998,1259,1379,3070.42,1200.47,20.0078333333333,3190.54,95.524,86.085,-0.079765673847551,1,-0.079765673847551,"%Air","sec",0.0705,0.0019593,NA,37,31.027,1.019,-1.23234862935689,-628.973934240234,NA,"mgO2/hr/kg",628.973934240234,1.23234862935689,31.027,145
"5",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",5,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,294.163648301234,-0.0572508546434288,0.991,1658,1778,3469.52,1599.57,26.6595,3589.52,95.46,88.846,-0.0567586084855738,1,-0.0567586084855738,"%Air","sec",0.0705,0.0019593,NA,37,31.132,1.019,-0.875468998180352,-446.827437442123,NA,"mgO2/hr/kg",446.827437442123,0.875468998180352,31.132,145
"6",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",6,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,262.05116678366,-0.0424725295573214,0.966,2058,2178,3869.52,1999.57,33.3261666666667,3989.52,97.448,91.848,-0.0418661075922029,1,-0.0418661075922029,"%Air","sec",0.0705,0.0019593,NA,37,31.206,1.019,-0.64501952741617,-329.209170324182,NA,"mgO2/hr/kg",329.209170324182,0.64501952741617,31.206,145
"7",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",7,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,277.903862853263,-0.0422317661174703,0.997,2458,2578,4269.52,2399.57,39.9928333333333,4389.52,97.61,92.378,-0.0415111683450883,1,-0.0415111683450883,"%Air","sec",0.0705,0.0019593,NA,37,31.32,1.019,-0.638421960473003,-325.841862130865,NA,"mgO2/hr/kg",325.841862130865,0.638421960473003,31.32,145
"8",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",8,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,363.576015120991,-0.0568770306407226,0.982,2858,2978,4669.52,2799.57,46.6595,4789.52,97.591,91.116,-0.0560422570610772,1,-0.0560422570610772,"%Air","sec",0.0705,0.0019593,NA,37,31.406,1.019,-0.860756470812892,-439.318364116211,NA,"mgO2/hr/kg",439.318364116211,0.860756470812892,31.406,145
"9",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",9,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,349.509991458121,-0.0497711996374006,0.995,3258,3378,5069.52,3199.57,53.3261666666667,5189.52,96.934,91.101,-0.0488222502504917,1,-0.0488222502504917,"%Air","sec",0.0705,0.0019593,NA,37,31.465,1.019,-0.749180009456289,-382.371259866426,NA,"mgO2/hr/kg",382.371259866426,0.749180009456289,31.465,145
"10",2023-06-06,"56.CARL.131.30.1","56","CARL","131","30","1","DELL","ch1",10,"CARL217","CARL226","core","Arlington Reef",78.4,23.15,72.47,16.28,-16.702,145.986,-16.702,145.986,2,47,328,2023-01-12,8,0.94322,448.192474434217,-0.0641527652247584,0.979,3658,3778,5469.52,3599.57,59.9928333333333,5589.52,96.83,89.058,-0.063089640030586,1,-0.063089640030586,"%Air","sec",0.0705,0.0019593,NA,37,31.597,1.019,-0.96614187359368,-493.105636499607,NA,"mgO2/hr/kg",493.105636499607,0.96614187359368,31.597,145
