"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",1,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,248.686497542619,-0.0739146656830104,0.998,45,134,2123.61,0,0,2243.91,91.788,82.873,-0.0728115720707479,1,-0.0728115720707479,"%Air","sec",0.07073,0.0010142,NA,37,30.675,1.019,-1.13478824738967,-1118.89986924637,NA,"mgO2/hr/kg",1118.89986924637,1.13478824738967,30.875,140
"2",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",2,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,240.802431533849,-0.0582330372613698,1,341,430,2523.22,399.61,6.66016666666666,2643.48,93.902,86.91,-0.0570029634168181,1,-0.0570029634168181,"%Air","sec",0.07073,0.0010142,NA,37,30.774,1.019,-0.88703490421358,-874.615366016151,NA,"mgO2/hr/kg",874.615366016151,0.88703490421358,30.974,140
"3",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",3,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,254.525560653897,-0.0546848702542434,0.999,637,726,2923.26,799.65,13.3275,3043.48,94.711,88.022,-0.053327679533593,1,-0.053327679533593,"%Air","sec",0.07073,0.0010142,NA,37,30.849,1.019,-0.828873205562558,-817.267999963082,NA,"mgO2/hr/kg",817.267999963082,0.828873205562558,31.049,140
"4",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",4,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,279.511362961833,-0.0554624214726078,0.993,934,1023,3324.04,1200.43,20.0071666666667,3444.12,95.053,88.224,-0.0539778946102108,1,-0.0539778946102108,"%Air","sec",0.07073,0.0010142,NA,37,30.916,1.019,-0.838104338890762,-826.369886502427,NA,"mgO2/hr/kg",826.369886502427,0.838104338890762,31.116,140
"5",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",5,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,350.307258704349,-0.0690291566164463,0.997,1230,1319,3723.39,1599.78,26.663,3843.53,93.439,85.202,-0.0674177162547834,1,-0.0674177162547834,"%Air","sec",0.07073,0.0010142,NA,37,31.042,1.019,-1.04473188641155,-1030.1044038765,NA,"mgO2/hr/kg",1030.1044038765,1.04473188641155,31.242,140
"6",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",6,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,333.410995713988,-0.0579538624936018,0.998,1527,1616,4124.08,2000.47,33.3411666666667,4244.06,94.266,87.337,-0.0562151177678224,1,-0.0562151177678224,"%Air","sec",0.07073,0.0010142,NA,37,31.149,1.019,-0.869685194672653,-857.508572936948,NA,"mgO2/hr/kg",857.508572936948,0.869685194672653,31.349,140
"7",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",7,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,302.402029252135,-0.0458166976103492,0.994,1823,1912,4523.27,2399.66,39.9943333333333,4643.46,95.324,89.455,-0.0439510663962896,1,-0.0439510663962896,"%Air","sec",0.07073,0.0010142,NA,37,31.242,1.019,-0.678971853496855,-669.465444189366,NA,"mgO2/hr/kg",669.465444189366,0.678971853496855,31.442,140
"8",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",8,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,346.930966549027,-0.0510075544390754,0.998,2120,2209,4924.13,2800.52,46.6753333333333,5044.54,95.758,89.763,-0.0490145044614308,1,-0.0490145044614308,"%Air","sec",0.07073,0.0010142,NA,37,31.349,1.019,-0.755939393656027,-745.355347718425,NA,"mgO2/hr/kg",745.355347718425,0.755939393656027,31.549,140
"9",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",9,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,363.326900528832,-0.0502296092366699,0.999,2417,2505,5325.28,3201.67,53.3611666666667,5444.14,95.802,89.868,-0.0481093295723395,1,-0.0481093295723395,"%Air","sec",0.07073,0.0010142,NA,37,31.432,1.019,-0.741026690645472,-730.651440194707,NA,"mgO2/hr/kg",730.651440194707,0.741026690645472,31.632,140
"10",2023-06-06,"59.LCKM.129.30.2","59","LCKM","129","30","2","ASUS","ch2",10,"CARL354","CARL355","core","Arlington Reef",87.22,31.58,84.76,29.85,-16.702,145.986,-16.702,145.986,2,50,326,2023-01-17,NA,0.23734,444.079582987055,-0.0608249119869029,0.988,2712,2801,5723.56,3599.95,59.9991666666667,5843.84,95.979,88.267,-0.0585778427560643,1,-0.0585778427560643,"%Air","sec",0.07073,0.0010142,NA,37,31.532,1.019,-0.900879369644969,-888.265992550748,NA,"mgO2/hr/kg",888.265992550748,0.900879369644969,31.732,140
