"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",1,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,467.601541356938,-0.131258631139056,0.997,61,181,2858.26,0,0,2978.41,91.584,77.038,-0.131220451801038,1,-0.131220451801038,"%Air","sec",0.0705,0.0029238,NA,37,30.209,1.019,-2.0533946465492,-702.303388244477,NA,"mgO2/hr/kg",702.303388244477,2.0533946465492,30.209,135
"2",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",2,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,591.961199829076,-0.153081964760795,0.995,461,581,3258.14,399.88,6.66466666666666,3378.28,92.244,74.785,-0.152920996483298,1,-0.152920996483298,"%Air","sec",0.0705,0.0029238,NA,37,30.209,1.019,-2.39297419886866,-818.446610188338,NA,"mgO2/hr/kg",818.446610188338,2.39297419886866,30.209,135
"3",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",3,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,709.980933276455,-0.169257540032364,0.976,862,982,3658.31,800.05,13.3341666666667,3778.22,92.412,71.767,-0.168973727543093,1,-0.168973727543093,"%Air","sec",0.0705,0.0029238,NA,37,30.237,1.019,-2.64301111525181,-903.964400865933,NA,"mgO2/hr/kg",903.964400865933,2.64301111525181,30.237,135
"4",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",4,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,588.935971253111,-0.123432534337836,0.998,1262,1382,4058.22,1199.96,19.9993333333333,4178.22,88.689,73.33,-0.123025908343622,1,-0.123025908343622,"%Air","sec",0.0705,0.0029238,NA,37,30.232,1.019,-1.92446715527664,-658.207522838989,NA,"mgO2/hr/kg",658.207522838989,1.92446715527664,30.232,135
"5",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",5,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,641.619965362256,-0.123738976065181,0.996,1662,1782,4458.22,1599.96,26.666,4578.25,89.951,74.537,-0.123209518141925,1,-0.123209518141925,"%Air","sec",0.0705,0.0029238,NA,37,30.218,1.019,-1.92776337768842,-659.334898997341,NA,"mgO2/hr/kg",659.334898997341,1.92776337768842,30.218,135
"6",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",6,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,655.163626789054,-0.116314080513163,0.999,2062,2182,4858.22,1999.96,33.3326666666667,4978.22,89.938,75.8,-0.115661799872914,1,-0.115661799872914,"%Air","sec",0.0705,0.0029238,NA,37,30.196,1.019,-1.81029598690153,-619.158624701255,NA,"mgO2/hr/kg",619.158624701255,1.81029598690153,30.196,135
"7",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",7,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,734.916947286335,-0.122467832503759,0.999,2462,2582,5258.22,2399.96,39.9993333333333,5378.22,91.252,76.567,-0.121692724540493,1,-0.121692724540493,"%Air","sec",0.0705,0.0029238,NA,37,30.217,1.019,-1.90406121273853,-651.228268944021,NA,"mgO2/hr/kg",651.228268944021,1.90406121273853,30.217,135
"8",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",8,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,734.132681524692,-0.113578588878624,0.997,2862,2982,5658.22,2799.96,46.666,5778.22,91.518,78.09,-0.112680653592341,1,-0.112680653592341,"%Air","sec",0.0705,0.0029238,NA,37,30.235,1.019,-1.76255553337878,-602.830403371906,NA,"mgO2/hr/kg",602.830403371906,1.76255553337878,30.235,135
"9",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",9,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,726.976162737779,-0.104920094125641,0.988,3262,3382,6058.22,3199.96,53.3326666666667,6178.22,91.306,77.841,-0.10389933151634,1,-0.10389933151634,"%Air","sec",0.0705,0.0029238,NA,37,30.336,1.019,-1.6226224789305,-554.970408006876,NA,"mgO2/hr/kg",554.970408006876,1.6226224789305,30.336,135
"10",2023-06-16,"74.LSBICHA.144.28,5.1","74","LSBICHA","144","28","5","DELL","ch1",10,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,885.557159205512,-0.122713693089431,0.996,3662,3782,6458.22,3599.96,59.9993333333333,6578.22,92.782,78.616,-0.121570103157113,1,-0.121570103157113,"%Air","sec",0.0705,0.0029238,NA,37,30.451,1.019,-1.89517129832625,-648.187734566744,NA,"mgO2/hr/kg",648.187734566744,1.89517129832625,30.451,135
