"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",1,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,286.452089707143,-0.0629153352671115,0.959,62,182,2961.58,0,0,3081.58,100.06,93.361,-0.0628805663541722,1,-0.0628805663541722,"%Air","sec",0.07177,0.0009628,NA,36,30.325,1.019,-1.00537734867871,-1044.22242280713,NA,"mgO2/hr/kg",1044.22242280713,1.00537734867871,30.325,129
"2",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",2,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,276.362262396787,-0.0526395544294907,0.957,462,582,3361.66,400.08,6.668,3481.59,100.26,92.625,-0.0524949014134009,1,-0.0524949014134009,"%Air","sec",0.07177,0.0009628,NA,36,30.299,1.019,-0.839667708776288,-872.110208533744,NA,"mgO2/hr/kg",872.110208533744,0.839667708776288,30.299,129
"3",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",3,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,265.44447066525,-0.0442108285594926,0.999,862,982,3761.58,800,13.3333333333333,3881.58,99.087,93.95,-0.0439563161613944,1,-0.0439563161613944,"%Air","sec",0.07177,0.0009628,NA,36,30.318,1.019,-0.702880944877619,-730.038372328229,NA,"mgO2/hr/kg",730.038372328229,0.702880944877619,30.318,129
"4",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",5,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,238.589919815935,-0.030126849791555,0.98,1662,1782,4561.58,1600,26.6666666666667,4681.58,100.81,97.397,-0.0296525939082978,1,-0.0296525939082978,"%Air","sec",0.07177,0.0009628,NA,36,30.284,1.019,-0.474411874316005,-492.741871952643,NA,"mgO2/hr/kg",492.741871952643,0.474411874316005,30.284,129
"5",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",9,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,322.239594445283,-0.0358765729111881,0.996,3262,3382,6161.58,3200,53.3333333333333,6281.58,100.96,97.01,-0.034962830057613,1,-0.034962830057613,"%Air","sec",0.07177,0.0009628,NA,36,30.594,1.019,-0.556653039192593,-578.160614034683,NA,"mgO2/hr/kg",578.160614034683,0.556653039192593,30.594,129
"6",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",10,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,329.349480381286,-0.0346616612371412,0.988,3662,3782,6561.64,3600.06,60.001,6681.58,101.5,97.725,-0.0336380384006059,1,-0.0336380384006059,"%Air","sec",0.07177,0.0009628,NA,36,30.704,1.019,-0.534638618689857,-555.295615589797,NA,"mgO2/hr/kg",555.295615589797,0.534638618689857,30.704,129
"7",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",12,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,303.767005385684,-0.027605209457752,0.982,4462,4582,7361.58,4400,73.3333333333333,7481.58,100.72,97.507,-0.0263618513764384,1,-0.0263618513764384,"%Air","sec",0.07177,0.0009628,NA,36,30.945,1.019,-0.417416690040255,-433.544547195944,NA,"mgO2/hr/kg",433.544547195944,0.417416690040255,30.945,129
"8",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",13,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,316.360400887208,-0.0276807008996163,0.964,4862,4982,7761.58,4800,80,7881.58,101.34,98.175,-0.0263274710757233,1,-0.0263274710757233,"%Air","sec",0.07177,0.0009628,NA,36,31.042,1.019,-0.416242217300864,-432.324695991757,NA,"mgO2/hr/kg",432.324695991757,0.416242217300864,31.042,129
"9",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",14,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,371.677326233079,-0.0330416546991899,0.964,5262,5382,8161.58,5200,86.6666666666667,8281.58,101.55,97.76,-0.0315785531327173,1,-0.0315785531327173,"%Air","sec",0.07177,0.0009628,NA,36,31.151,1.019,-0.49841603970363,-517.673493668083,NA,"mgO2/hr/kg",517.673493668083,0.49841603970363,31.151,129
"10",2023-06-10,"74.LSBICHA.227.31,52","74","LSBICHA","227","31","52","DELL","ch3",15,"LSBI023","LCHA118","leading","Chauvel Reef/St. Bee's Island",90.2,34.53,87.66,38.67,-20.863,150.363,-20.927,149.663,2,65,375,2023-02-01,10,0.62466,360.286240429262,-0.0302223558083973,0.975,5662,5782,8561.58,5600,93.3333333333333,8681.58,101.2,97.682,-0.0286493824993453,1,-0.0286493824993453,"%Air","sec",0.07177,0.0009628,NA,36,31.246,1.019,-0.451516249284973,-468.961621608821,NA,"mgO2/hr/kg",468.961621608821,0.451516249284973,31.246,129
