,exp_date,sampleID,clutch_number,reef.abbrv,tank,dev.temp,replicate,system,chamber,rep,male,female,region,population,male_standard_length,male_mass,female_standard_length,female_mass,male_lat,male_long,female_lat,female_long,clutch_order,days_in_treatment,egg_count,date_of_hatch,hatching_time,hatching_success,intercept_b0,slope_b1,rsq,row,endrow,time,time_lag_sec,time_lag_min,endtime,oxy,endoxy,rate.input,rank,rate,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output,rate.output2,Temperature,age
1,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,1,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,374.442842,-0.111062087,0.957,46,135,2517.27,0,0,2637.11,95.425,82.267,-0.110786182,1,-0.110786182,%Air,sec,0.06891,0.001556,NA,37,30.284,1.019,-1.692536069,-1087.748116,NA,mgO2/hr/kg,1087.748116,1.692536069,30.484,129
2,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,2,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,358.8782219,-0.089561611,0.978,343,432,2916.95,399.68,6.661333333,3036.56,97.404,86.913,-0.089243942,1,-0.089243942,%Air,sec,0.06891,0.001556,NA,37,30.24,1.019,-1.364367025,-876.8425612,NA,mgO2/hr/kg,876.8425612,1.364367025,30.44,129
3,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,3,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,299.3686362,-0.061293095,0.991,641,730,3317.5,800.23,13.33716667,3437.35,95.858,88.708,-0.060933548,1,-0.060933548,%Air,sec,0.06891,0.001556,NA,37,30.247,1.019,-0.931453497,-598.6204995,NA,mgO2/hr/kg,598.6204995,0.931453497,30.447,129
4,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,4,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,277.2047526,-0.048337343,0.985,937,1027,3716.16,1198.89,19.9815,3837.18,97.609,91.295,-0.047936067,1,-0.047936067,%Air,sec,0.06891,0.001556,NA,37,30.268,1.019,-0.732527369,-470.7759443,NA,mgO2/hr/kg,470.7759443,0.732527369,30.468,129
5,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,5,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,341.8629489,-0.059124676,0.988,1236,1325,4117.85,1600.58,26.67633333,4237.5,97.892,91.156,-0.058681486,1,-0.058681486,%Air,sec,0.06891,0.001556,NA,37,30.287,1.019,-0.896464269,-576.1338492,NA,mgO2/hr/kg,576.1338492,0.896464269,30.487,129
6,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,6,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,374.1520317,-0.061297534,0.975,1533,1622,4516.91,1999.64,33.32733333,4636.78,97.446,89.364,-0.060812622,1,-0.060812622,%Air,sec,0.06891,0.001556,NA,37,30.422,1.019,-0.927055855,-595.7942512,NA,mgO2/hr/kg,595.7942512,0.927055855,30.622,129
7,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,7,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,408.1597188,-0.063230825,0.994,1831,1920,4918.02,2400.75,40.0125,5037.75,96.82,89.535,-0.062703997,1,-0.062703997,%Air,sec,0.06891,0.001556,NA,37,30.453,1.019,-0.955424635,-614.0261153,NA,mgO2/hr/kg,614.0261153,0.955424635,30.653,129
8,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,8,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,375.1201841,-0.052460443,0.985,2128,2217,5317.13,2799.86,46.66433333,5436.72,96.257,90.143,-0.051891906,1,-0.051891906,%Air,sec,0.06891,0.001556,NA,37,30.544,1.019,-0.789554429,-507.4257258,NA,mgO2/hr/kg,507.4257258,0.789554429,30.744,129
9,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,9,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,427.2933375,-0.057937833,0.982,2426,2515,5717.24,3199.97,53.33283333,5836.78,95.834,89.603,-0.05732748,1,-0.05732748,%Air,sec,0.06891,0.001556,NA,37,30.666,1.019,-0.870596506,-559.5093227,NA,mgO2/hr/kg,559.5093227,0.870596506,30.866,129
10,11/06/2023,"75.LSBICHA.355.31,5.2",75,LSBICHA,355,31,5,ASUS,ch4,11,LSBI034,LCHA120,leading,Chauvel Reef/St. Bee's Island,85.1,28.44,90.92,36.71,-20.863,150.363,-20.927,149.663,2,65,485,2/02/2023,11,0.54316,509.4585174,-0.063220747,0.993,3022,3111,6517.99,4000.72,66.67866667,6637.56,97.41,90.204,-0.062526696,1,-0.062526696,%Air,sec,0.06891,0.001556,NA,37,30.935,1.019,-0.945578867,-607.6985008,NA,mgO2/hr/kg,607.6985008,0.945578867,31.135,129
