"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",1,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,248.997618891966,-0.0525331077068569,0.955,61,181,2871.3,0,0,2991.44,97.714,91.335,-0.0524990443598079,1,-0.0524990443598079,"%Air","sec",0.07193,0.0014177,NA,37,30.32,1.019,-0.836731497518306,-590.203496874025,NA,"mgO2/hr/kg",590.203496874025,0.836731497518306,30.32,115
"2",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",2,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,263.884938254658,-0.0513719910966159,0.996,461,582,3271.17,399.87,6.6645,3391.15,96.092,89.797,-0.051230163363109,1,-0.051230163363109,"%Air","sec",0.07193,0.0014177,NA,37,30.317,1.019,-0.81654647496707,-575.965630928313,NA,"mgO2/hr/kg",575.965630928313,0.81654647496707,30.317,115
"3",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",3,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,212.668431365152,-0.0315327942241412,0.972,862,982,3671.16,799.86,13.331,3791.16,96.738,92.787,-0.0312831454981554,1,-0.0312831454981554,"%Air","sec",0.07193,0.0014177,NA,37,30.3,1.019,-0.498748346654831,-351.801048638521,NA,"mgO2/hr/kg",351.801048638521,0.498748346654831,30.3,115
"4",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",4,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,199.686834092649,-0.0248557189498872,0.962,1262,1382,4071.16,1199.86,19.9976666666667,4191.17,98.038,95.407,-0.02449824788366,1,-0.02449824788366,"%Air","sec",0.07193,0.0014177,NA,37,30.326,1.019,-0.39041711783444,-275.387682749835,NA,"mgO2/hr/kg",275.387682749835,0.39041711783444,30.326,115
"5",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",6,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,299.890986721583,-0.0413336147729002,0.98,2062,2182,4871.21,1999.91,33.3318333333333,4991.16,98.366,93.38,-0.0407604963306653,1,-0.0407604963306653,"%Air","sec",0.07193,0.0014177,NA,37,30.413,1.019,-0.648695232250792,-457.568760845589,NA,"mgO2/hr/kg",457.568760845589,0.648695232250792,30.413,115
"6",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",12,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,382.383637303894,-0.0388720107977142,0.961,4462,4582,7271.16,4399.86,73.331,7391.15,99.068,94.718,-0.0376519744871798,1,-0.0376519744871798,"%Air","sec",0.07193,0.0014177,NA,37,31.023,1.019,-0.593544462131217,-418.667180737263,NA,"mgO2/hr/kg",418.667180737263,0.593544462131217,31.023,115
"7",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",13,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,344.965604714131,-0.0321420514660581,0.965,4862,4982,7671.16,4799.86,79.9976666666667,7791.16,98.364,94.319,-0.0308141928152824,1,-0.0308141928152824,"%Air","sec",0.07193,0.0014177,NA,37,31.171,1.019,-0.48463843583973,-341.848371192587,NA,"mgO2/hr/kg",341.848371192587,0.48463843583973,31.171,115
"8",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",14,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,554.423952105381,-0.0566198555479599,0.99,5262,5382,8071.16,5199.86,86.6643333333333,8191.16,97.118,90.544,-0.0551841759047052,1,-0.0551841759047052,"%Air","sec",0.07193,0.0014177,NA,37,31.277,1.019,-0.866498263620117,-611.200016660871,NA,"mgO2/hr/kg",611.200016660871,0.866498263620117,31.277,115
"9",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",15,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,588.537788215383,-0.0580941709538382,0.98,5662,5782,8471.16,5599.86,93.331,8591.16,96.291,89.762,-0.0565506703181044,1,-0.0565506703181044,"%Air","sec",0.07193,0.0014177,NA,37,31.343,1.019,-0.887047483576482,-625.694775746972,NA,"mgO2/hr/kg",625.694775746972,0.887047483576482,31.343,115
"10",2023-06-11,"87.CRUS.150.30.1","87","CRUS","150","30","1","DELL","ch2",16,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,339.848110803411,-0.0271325882566391,0.97,6062,6182,8871.15,5999.85,99.9975,8991.16,99.312,96.155,-0.0254812679761887,1,-0.0254812679761887,"%Air","sec",0.07193,0.0014177,NA,37,31.452,1.019,-0.399022751431549,-281.457820012379,NA,"mgO2/hr/kg",281.457820012379,0.399022751431549,31.452,115
