"","exp_date","sampleID","clutch_number","reef.abbrv","tank","dev.temp","replicate","system","chamber","rep","male","female","region","population","male_standard_length","male_mass","female_standard_length","female_mass","male_lat","male_long","female_lat","female_long","clutch_order","days_in_treatment","egg_count","date_of_hatch","hatching_time","hatching_success","intercept_b0","slope_b1","rsq","row","endrow","time","time_lag_sec","time_lag_min","endtime","oxy","endoxy","rate.input","rank","rate","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","rate.output2","Temperature","age"
"1",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",2,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,236.991683071701,-0.0432220915649056,0.998,461,581,3258.14,0,0,3378.28,96.257,91.04,-0.043019953576327,1,-0.043019953576327,"%Air","sec",0.07193,0.0011013,NA,37,30.209,1.019,-0.686849802025869,-623.671844207636,NA,"mgO2/hr/kg",623.671844207636,0.686849802025869,30.209,120
"2",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",3,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,222.859585879426,-0.0344497775293831,0.993,862,982,3658.31,400.17,6.6695,3778.22,96.853,92.572,-0.0340933763389945,1,-0.0340933763389945,"%Air","sec",0.07193,0.0011013,NA,37,30.237,1.019,-0.544090020948598,-494.043422272403,NA,"mgO2/hr/kg",494.043422272403,0.544090020948598,30.237,120
"3",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",4,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,220.616344345377,-0.0304457830508225,0.993,1262,1382,4058.22,800.08,13.3346666666667,4178.22,97.124,93.629,-0.0299351572191223,1,-0.0299351572191223,"%Air","sec",0.07193,0.0011013,NA,37,30.232,1.019,-0.477767286808211,-433.821199317362,NA,"mgO2/hr/kg",433.821199317362,0.477767286808211,30.232,120
"4",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",6,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,377.239539542056,-0.0577708964839502,0.978,2062,2182,4858.22,1600.08,26.668,4978.22,95.831,89.623,-0.0569517866651783,1,-0.0569517866651783,"%Air","sec",0.07193,0.0011013,NA,37,30.196,1.019,-0.909469080459066,-825.814111013408,NA,"mgO2/hr/kg",825.814111013408,0.909469080459066,30.196,120
"5",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",7,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,297.677493470528,-0.0380043798397081,0.966,2462,2582,5258.22,2000.08,33.3346666666667,5378.22,97.326,92.95,-0.0370310280274002,1,-0.0370310280274002,"%Air","sec",0.07193,0.0011013,NA,37,30.217,1.019,-0.591157227681124,-536.78128364762,NA,"mgO2/hr/kg",536.78128364762,0.591157227681124,30.217,120
"6",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",9,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,261.911928478121,-0.0270436571292798,0.97,3262,3382,6058.22,2800.08,46.668,6178.22,98.028,95.047,-0.0257618213299003,1,-0.0257618213299003,"%Air","sec",0.07193,0.0011013,NA,37,30.336,1.019,-0.410489678948382,-372.731934031038,NA,"mgO2/hr/kg",372.731934031038,0.410489678948382,30.336,120
"7",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",10,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,267.334319828271,-0.0261605442512343,0.972,3662,3782,6458.22,3200.08,53.3346666666667,6578.22,98.324,95.289,-0.0247244664583189,1,-0.0247244664583189,"%Air","sec",0.07193,0.0011013,NA,37,30.451,1.019,-0.393250747797052,-357.078677741807,NA,"mgO2/hr/kg",357.078677741807,0.393250747797052,30.451,120
"8",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",11,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,328.14358187255,-0.0335148837263276,0.976,4062,4182,6858.24,3600.1,60.0016666666667,6978.22,98.204,94.58,-0.0319245600838264,1,-0.0319245600838264,"%Air","sec",0.07193,0.0011013,NA,37,30.57,1.019,-0.506825581647881,-460.20664818658,NA,"mgO2/hr/kg",460.20664818658,0.506825581647881,30.57,120
"9",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",12,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,366.786172349489,-0.0370287974207346,0.993,4462,4582,7258.22,4000.08,66.668,7378.22,98.175,93.418,-0.0352842356407474,1,-0.0352842356407474,"%Air","sec",0.07193,0.0011013,NA,37,30.687,1.019,-0.559139455981354,-507.708577119181,NA,"mgO2/hr/kg",507.708577119181,0.559139455981354,30.687,120
"10",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",15,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,339.592747335882,-0.0285171407465053,0.982,5662,5782,8458.22,5200.08,86.668,8578.22,98.49,95.083,-0.0263098529859105,1,-0.0263098529859105,"%Air","sec",0.07193,0.0011013,NA,37,30.99,1.019,-0.414960550709715,-376.791565159099,NA,"mgO2/hr/kg",376.791565159099,0.414960550709715,30.99,120
"11",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",16,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,434.340481297357,-0.0380021689620003,0.988,6062,6182,8858.22,5600.08,93.3346666666667,8978.22,97.503,92.767,-0.0356406392078696,1,-0.0356406392078696,"%Air","sec",0.07193,0.0011013,NA,37,31.096,1.019,-0.56120078573637,-509.580301222528,NA,"mgO2/hr/kg",509.580301222528,0.56120078573637,31.096,120
"12",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",17,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,444.855127787974,-0.0375272524048237,0.981,6462,6582,9258.22,6000.08,100.001333333333,9378.22,97.485,93.495,-0.0350114806571572,1,-0.0350114806571572,"%Air","sec",0.07193,0.0011013,NA,37,31.189,1.019,-0.550498620422947,-499.862544649911,NA,"mgO2/hr/kg",499.862544649911,0.550498620422947,31.189,120
"13",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",19,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,378.298648761962,-0.027853895136161,0.976,7262,7382,10058.22,6800.08,113.334666666667,10178.22,98.018,94.498,-0.0250296394014227,1,-0.0250296394014227,"%Air","sec",0.07193,0.0011013,NA,37,31.413,1.019,-0.392186988717664,-356.112765565844,NA,"mgO2/hr/kg",356.112765565844,0.392186988717664,31.413,120
"14",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",20,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,442.328243862085,-0.0329270153095793,0.975,7662,7782,10458.22,7200.08,120.001333333333,10578.22,98.129,93.855,-0.0299485175813051,1,-0.0299485175813051,"%Air","sec",0.07193,0.0011013,NA,37,31.522,1.019,-0.468470328548327,-425.379395758038,NA,"mgO2/hr/kg",425.379395758038,0.468470328548327,31.522,120
"15",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",21,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,422.880563683791,-0.0299353068689887,0.966,8062,8182,10858.22,7600.08,126.668,10978.22,97.751,93.849,-0.0268025671471786,1,-0.0268025671471786,"%Air","sec",0.07193,0.0011013,NA,37,31.656,1.019,-0.418393441260499,-379.908690874874,NA,"mgO2/hr/kg",379.908690874874,0.418393441260499,31.656,120
"16",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",22,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,557.216344737977,-0.0407980016257961,0.982,8462,8582,11258.22,8000.08,133.334666666667,11378.22,97.302,93.171,-0.0375110199104501,1,-0.0375110199104501,"%Air","sec",0.07193,0.0011013,NA,37,31.777,1.019,-0.584463676024486,-530.703419617258,NA,"mgO2/hr/kg",530.703419617258,0.584463676024486,31.777,120
"17",2023-06-16,"87.CRUS.358.31,5.2","87","CRUS","358","31","5","DELL","ch2",23,"CRUS426","CRUS360","core","Russel Island",88.13,35.28,92.98,38.4,-17.233,146.1,-17.233,146.1,1,81,527,2023-02-16,9,0.95543,618.753916563347,-0.0446580002709668,0.994,8862,8982,11658.22,8400.08,140.001333333333,11778.22,98.114,92.717,-0.0412167765620849,1,-0.0412167765620849,"%Air","sec",0.07193,0.0011013,NA,37,31.855,1.019,-0.641432999895032,-582.432579583249,NA,"mgO2/hr/kg",582.432579583249,0.641432999895032,31.855,120
