,exp_date,sampleID,clutch_number,reef.abbrv,tank,dev.temp,replicate,system,chamber,rep,male,female,region,population,male_standard_length,male_mass,female_standard_length,female_mass,male_lat,male_long,female_lat,female_long,clutch_order,days_in_treatment,egg_count,date_of_hatch,hatching_time,hatching_success,intercept_b0,slope_b1,rsq,row,endrow,time,time_lag_sec,time_lag_min,endtime,oxy,endoxy,rate.input,rank,rate,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output,rate.output2,Temperature,age
1,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,1,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,216.6627344,-0.084413305,0.998,45,134,1477.53,0,0,1597.77,92.393,81.851,-0.084116038,1,-0.084116038,%Air,sec,0.06891,0.0018135,NA,37,30.414,1.019,-1.282464742,-707.1765878,NA,mgO2/hr/kg,707.1765878,1.282464742,30.364,132
2,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,2,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,236.3189802,-0.076272475,0.998,341,430,1877.62,400.09,6.668166667,1997.81,93.36,83.802,-0.075756855,1,-0.075756855,%Air,sec,0.06891,0.0018135,NA,37,30.398,1.019,-1.155307222,-637.0593998,NA,mgO2/hr/kg,637.0593998,1.155307222,30.348,132
3,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,3,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,257.9147875,-0.072103852,0.999,637,726,2277.16,799.63,13.32716667,2397.41,93.685,85.045,-0.071370149,1,-0.071370149,%Air,sec,0.06891,0.0018135,NA,37,30.387,1.019,-1.088596805,-600.2739481,NA,mgO2/hr/kg,600.2739481,1.088596805,30.337,132
4,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,4,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,266.6032596,-0.064285007,0.996,933,1022,2676.61,1199.08,19.98466667,2796.64,94.924,86.722,-0.063333346,1,-0.063333346,%Air,sec,0.06891,0.0018135,NA,37,30.345,1.019,-0.966649372,-533.0297061,NA,mgO2/hr/kg,533.0297061,0.966649372,30.295,132
5,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,5,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,342.2252291,-0.080417476,0.991,1231,1320,3077.94,1600.41,26.6735,3197.78,94.436,85.745,-0.079246823,1,-0.079246823,%Air,sec,0.06891,0.0018135,NA,37,30.447,1.019,-1.207602198,-665.8958906,NA,mgO2/hr/kg,665.8958906,1.207602198,30.397,132
6,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,6,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,259.7846852,-0.04704447,0.972,1528,1617,3477.93,2000.4,33.34,3597.85,96.043,90.308,-0.045655483,1,-0.045655483,%Air,sec,0.06891,0.0018135,NA,37,30.554,1.019,-0.694556271,-382.9921538,NA,mgO2/hr/kg,382.9921538,0.694556271,30.504,132
7,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,7,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,333.7013621,-0.060828687,0.976,1825,1914,3878.16,2400.63,40.0105,3997.9,97.73,90.765,-0.059221305,1,-0.059221305,%Air,sec,0.06891,0.0018135,NA,37,30.626,1.019,-0.899919159,-496.233338,NA,mgO2/hr/kg,496.233338,0.899919159,30.576,132
8,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,8,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,391.4699193,-0.069129685,0.987,2121,2210,4277.1,2799.57,46.6595,4397.19,95.399,87.034,-0.067304468,1,-0.067304468,%Air,sec,0.06891,0.0018135,NA,37,30.739,1.019,-1.020946394,-562.970165,NA,mgO2/hr/kg,562.970165,1.020946394,30.689,132
9,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,10,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,369.2979617,-0.054024772,0.994,2715,2804,5078.71,3601.18,60.01966667,5198.58,94.961,88.662,-0.051762101,1,-0.051762101,%Air,sec,0.06891,0.0018135,NA,37,30.954,1.019,-0.782556562,-431.5172663,NA,mgO2/hr/kg,431.5172663,0.782556562,30.904,132
10,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,11,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,372.3549834,-0.050098881,0.984,3011,3100,5477.82,4000.29,66.6715,5597.83,97.362,91.787,-0.047618339,1,-0.047618339,%Air,sec,0.06891,0.0018135,NA,37,31.096,1.019,-0.718322086,-396.0970974,NA,mgO2/hr/kg,396.0970974,0.718322086,31.046,132
11,5/07/2023,"99.CARL.324.31,5.1",99,CARL,324,31,5,ASUS,ch4,12,CARL335,CARL359,core,Arlington Reef,93.52,40,92.04,38.73,-16.702,145.986,-16.702,145.986,1,88,758,23/02/2023,9,0.44786,474.0498054,-0.063883124,0.976,3307,3396,5876.76,4399.23,73.3205,5996.8,98.012,90.166,-0.061184835,1,-0.061184835,%Air,sec,0.06891,0.0018135,NA,37,31.184,1.019,-0.921712402,-508.250566,NA,mgO2/hr/kg,508.250566,0.921712402,31.134,132
